Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,58.439999,58.439999,57.73,57.93,6518200,57.770715
2015-07-30,57.299999,58.150002,57.009998,58.060001,7337900,57.900358
2015-07-29,57.380001,57.799999,57.139999,57.509998,8470500,57.351868
2015-07-28,57.389999,57.400002,56.560001,57.139999,8689200,56.982886
2015-07-27,57.209999,57.470001,56.849998,56.98,8993500,56.823326
2015-07-24,59.119999,59.310001,57.150002,57.290001,14559700,57.132475
2015-07-23,56.98,57.00,56.16,56.560001,12439200,56.404483
2015-07-22,56.43,56.869999,56.25,56.689999,6876100,56.534123
2015-07-21,56.380001,56.470001,55.779999,56.200001,6717500,56.045472
2015-07-20,55.73,56.740002,55.700001,56.209999,7970800,56.055443
2015-07-17,55.900002,55.900002,55.369999,55.689999,8715400,55.536872
2015-07-16,56.060001,56.16,55.66,55.740002,7305500,55.586738
2015-07-15,55.919998,55.950001,55.290001,55.34,8212600,55.187836
2015-07-14,55.959999,56.060001,55.52,55.75,7028000,55.596709
2015-07-13,55.00,55.889999,54.900002,55.700001,7477200,55.546847
2015-07-10,54.540001,54.73,54.18,54.57,8087800,54.419953
2015-07-09,54.07,54.50,53.880001,54.049999,7681000,53.901382
2015-07-08,53.860001,54.02,53.310001,53.389999,8139300,53.243197
2015-07-07,54.290001,54.540001,53.360001,54.380001,9462300,54.230477
2015-07-06,53.639999,54.41,53.630001,54.310001,5396400,54.160669
2015-07-02,54.029999,54.700001,53.950001,54.240002,5684700,54.090862
2015-07-01,53.860001,54.209999,53.599998,53.889999,6107700,53.741822
2015-06-30,54.150002,54.299999,53.139999,53.619999,9794000,53.472564
2015-06-29,53.869999,54.389999,53.509998,53.549999,6534100,53.402757
2015-06-26,54.459999,54.75,54.299999,54.619999,6637200,54.469815
2015-06-25,54.09,54.450001,54.00,54.07,5389900,53.921328
2015-06-24,53.75,53.970001,53.52,53.709999,5525000,53.562317
2015-06-23,54.040001,54.18,53.720001,54.119999,5679000,53.971189
2015-06-22,54.330002,54.43,53.880001,53.900002,7100700,53.751797
2015-06-19,54.080002,54.439999,53.84,53.93,10609700,53.781713
2015-06-18,53.50,54.279999,53.400002,54.110001,10711000,53.961219
2015-06-17,53.09,53.470001,52.720001,53.240002,6735300,53.093612
2015-06-16,52.27,53.139999,52.200001,52.970001,6106500,52.824354
2015-06-15,52.23,52.459999,52.009998,52.27,5555000,52.126278
2015-06-12,52.41,52.740002,52.16,52.630001,5236700,52.485288
2015-06-11,52.810001,53.00,52.439999,52.490002,6030200,52.345674
2015-06-10,51.799999,52.860001,51.66,52.689999,8003600,52.545121
2015-06-09,51.349998,51.700001,51.099998,51.540001,5034000,51.398285
2015-06-08,52.00,52.23,51.490002,51.529999,6320200,51.388311
2015-06-05,51.57,52.439999,51.27,52.189999,7123200,52.046496
2015-06-04,51.869999,52.18,51.57,51.720001,6230800,51.577791
2015-06-03,52.00,52.27,51.669998,52.119999,5522700,51.976689
2015-06-02,51.98,52.299999,51.66,51.73,7877800,51.587762
2015-06-01,51.959999,52.459999,51.669998,52.220001,7075100,52.076416
2015-05-29,51.950001,52.23,51.450001,51.959999,9399100,51.817129
2015-05-28,51.84,51.939999,51.450001,51.810001,5874400,51.667543
2015-05-27,51.040001,51.700001,50.91,51.59,6213600,51.448147
2015-05-26,51.380001,51.779999,50.66,50.84,7369900,50.700209
2015-05-22,51.330002,51.650002,51.209999,51.48,5857700,51.338449
2015-05-21,50.939999,51.450001,50.779999,51.330002,5084000,51.188864
2015-05-20,51.310001,51.439999,50.43,51.029999,5644700,50.889686
2015-05-19,51.48,51.720001,50.959999,51.419998,6976100,51.278613
2015-05-18,50.650002,51.290001,50.560001,51.18,8999800,51.039275
2015-05-15,50.790001,50.849998,50.389999,50.799999,6016700,50.660318
2015-05-14,49.98,50.59,49.669998,50.560001,7339700,50.42098
2015-05-13,49.849998,50.150002,49.43,49.59,4927100,49.453646
2015-05-12,49.150002,49.990002,49.00,49.709999,5868600,49.573315
2015-05-11,49.709999,50.220001,49.380001,49.50,5047200,49.363894
2015-05-08,49.990002,50.43,49.459999,49.779999,6039800,49.643123
2015-05-07,48.740002,49.549999,48.720001,49.349998,5681400,49.214305
2015-05-06,49.68,49.700001,48.57,48.93,8033500,48.795461
2015-05-05,49.939999,50.049999,49.360001,49.41,10691200,49.274141
2015-05-04,50.299999,50.93,50.27,50.450001,7493400,50.151722
2015-05-01,49.950001,50.419998,49.68,50.290001,5916500,49.992668
2015-04-30,50.630001,50.68,49.43,49.580002,8492000,49.286867
2015-04-29,50.419998,50.950001,50.200001,50.650002,7162000,50.35054
2015-04-28,50.599998,50.799999,49.98,50.610001,8882900,50.310776
2015-04-27,51.810001,51.939999,50.759998,50.869999,11222600,50.569237
2015-04-24,51.32,52.09,50.619999,51.84,22284900,51.533503
2015-04-23,48.549999,49.700001,48.279999,49.43,15866100,49.137752
2015-04-22,48.50,48.599998,47.98,48.34,7248100,48.054196
2015-04-21,48.349998,48.48,48.02,48.369999,6213400,48.084018
2015-04-20,47.900002,48.119999,47.700001,47.970001,4868400,47.686385
2015-04-17,47.900002,48.00,47.389999,47.619999,7539900,47.338452
2015-04-16,48.23,48.48,48.16,48.25,5312500,47.964728
2015-04-15,48.810001,48.810001,48.130001,48.139999,5162200,47.855378
2015-04-14,48.52,48.709999,47.970001,48.299999,5952400,48.014432
2015-04-13,48.560001,48.889999,48.380001,48.50,8171000,48.21325
2015-04-10,48.599998,48.599998,47.880001,48.169998,6643100,47.8852
2015-04-09,47.650002,47.990002,47.25,47.959999,7109600,47.676442
2015-04-08,93.839996,95.279999,93.839996,95.230003,3413900,47.333484
2015-04-07,94.410004,94.959999,93.959999,94.07,5354600,46.756912
2015-04-06,93.849998,94.800003,93.449997,94.519997,6058800,46.98058
2015-04-02,93.419998,94.639999,93.220001,94.389999,8863000,46.915966
2015-04-01,94.279999,94.50,92.559998,93.019997,14125400,46.235014
2015-03-31,95.669998,96.199997,94.690002,94.699997,8717800,47.070048
2015-03-30,96.040001,96.50,95.50,95.980003,6830200,47.706267
2015-03-27,95.00,95.949997,94.75,95.07,7993400,47.253956
2015-03-26,95.349998,95.75,93.660004,95.080002,10344400,47.258927
2015-03-25,98.139999,98.480003,95.769997,95.769997,9907200,47.601885
2015-03-24,97.110001,98.330002,96.760002,97.919998,7718400,48.67053
