Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,35.029999,35.07,34.369999,34.880001,9327300,34.880001
2015-07-30,34.91,35.220001,34.73,35.189999,5026700,35.189999
2015-07-29,34.560001,34.990002,34.389999,34.82,6653400,34.82
2015-07-28,34.459999,34.610001,34.040001,34.48,6477100,34.48
2015-07-27,34.450001,34.48,33.84,34.080002,7502200,34.080002
2015-07-24,34.869999,34.990002,34.610001,34.810001,14033100,34.810001
2015-07-23,35.23,35.529999,34.779999,34.959999,6741400,34.959999
2015-07-22,34.82,35.299999,34.540001,35.25,7355000,35.25
2015-07-21,35.00,35.419998,34.669998,34.93,6384200,34.93
2015-07-20,34.93,35.23,34.869999,34.990002,6943300,34.990002
2015-07-17,34.759998,34.93,34.470001,34.790001,7479700,34.790001
2015-07-16,33.860001,34.759998,33.740002,34.759998,11576200,34.759998
2015-07-15,33.830002,33.91,33.459999,33.650002,7052000,33.650002
2015-07-14,33.400002,33.860001,33.189999,33.77,6272200,33.77
2015-07-13,33.16,33.540001,33.09,33.470001,7819400,33.470001
2015-07-10,32.700001,33.380001,32.450001,32.830002,7718500,32.830002
2015-07-09,32.09,32.389999,31.91,32.18,12130200,32.18
2015-07-08,32.040001,32.119999,31.450001,31.530001,12254500,31.530001
2015-07-07,32.389999,32.529999,31.66,32.389999,9802500,32.389999
2015-07-06,32.470001,32.759998,32.18,32.50,5965200,32.50
2015-07-02,32.990002,32.990002,32.59,32.849998,4685800,32.849998
2015-07-01,33.16,33.32,32.919998,33.119999,7413900,33.119999
2015-06-30,32.650002,32.830002,32.23,32.650002,7992600,32.650002
2015-06-29,33.060001,33.07,32.16,32.259998,11121000,32.259998
2015-06-26,33.419998,33.599998,33.119999,33.529999,9989600,33.529999
2015-06-25,33.25,33.52,33.060001,33.25,5629700,33.25
2015-06-24,33.349998,33.490002,32.970001,33.07,4002100,33.07
2015-06-23,33.529999,33.779999,33.380001,33.48,6172300,33.48
2015-06-22,32.98,33.48,32.98,33.369999,5666100,33.369999
2015-06-19,32.849998,33.02,32.59,32.669998,7571300,32.669998
2015-06-18,33.150002,33.27,32.59,33.07,9941800,33.07
2015-06-17,33.369999,33.59,32.98,33.07,7677700,33.07
2015-06-16,32.939999,33.349998,32.91,33.240002,6033300,33.240002
2015-06-15,32.990002,33.209999,32.610001,33.049999,5320700,33.049999
2015-06-12,33.34,33.529999,33.220001,33.360001,5903800,33.360001
2015-06-11,33.450001,33.720001,33.34,33.389999,7405100,33.389999
2015-06-10,33.189999,33.57,33.080002,33.43,7266000,33.43
2015-06-09,32.990002,33.169998,32.779999,33.02,5412700,33.02
2015-06-08,33.16,33.48,33.009998,33.02,5878500,33.02
2015-06-05,33.470001,33.59,32.880001,33.23,13517100,33.23
