Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,62.360001,62.639999,61.990002,62.580002,871400,62.580002
2015-07-30,61.709999,62.419998,61.310001,62.209999,631200,62.209999
2015-07-29,62.139999,62.580002,61.490002,61.93,818400,61.93
2015-07-28,62.220001,62.27,61.389999,62.049999,808600,62.049999
2015-07-27,60.470001,62.52,60.400002,61.880001,2027900,61.880001
2015-07-24,61.830002,61.939999,60.790001,61.200001,1293900,61.200001
2015-07-23,62.709999,62.950001,61.689999,61.82,956900,61.82
2015-07-22,63.07,63.400002,62.419998,62.75,1418300,62.75
2015-07-21,64.290001,64.459999,63.130001,63.330002,1174700,63.330002
2015-07-20,64.980003,65.610001,63.790001,64.290001,1037600,64.290001
2015-07-17,66.529999,66.949997,64.489998,64.860001,1396400,64.860001
2015-07-16,66.75,66.93,66.150002,66.769997,944600,66.769997
2015-07-15,66.239998,66.57,65.760002,66.309998,843900,66.309998
2015-07-14,66.080002,66.599998,65.709999,66.220001,830200,66.220001
2015-07-13,66.099998,66.650002,65.970001,66.309998,799400,66.309998
2015-07-10,65.870003,66.129997,65.370003,65.839996,820800,65.839996
2015-07-09,65.919998,66.769997,65.360001,65.419998,1435100,65.419998
2015-07-08,66.730003,66.93,65.040001,65.32,1358900,65.32
2015-07-07,66.970001,67.269997,65.419998,67.199997,915400,67.199997
2015-07-06,66.599998,68.050003,66.489998,66.779999,1002500,66.779999
2015-07-02,67.68,68.449997,66.449997,67.089996,1313500,67.089996
2015-07-01,65.830002,67.139999,65.529999,67.050003,1434900,67.050003
2015-06-30,65.190002,65.529999,64.470001,65.370003,1189400,65.370003
2015-06-29,66.559998,66.800003,64.589996,64.760002,1189500,64.760002
2015-06-26,66.800003,67.349998,66.489998,67.010002,888200,67.010002
2015-06-25,67.010002,67.089996,66.349998,66.650002,1056700,66.650002
2015-06-24,67.279999,67.410004,66.550003,66.660004,1053800,66.660004
2015-06-23,67.449997,67.50,66.699997,67.25,1715300,67.25
2015-06-22,67.660004,67.970001,67.080002,67.160004,846000,67.160004
2015-06-19,67.519997,67.720001,67.120003,67.25,1269300,67.25
2015-06-18,67.669998,67.870003,67.330002,67.68,860700,67.68
2015-06-17,67.230003,67.68,66.830002,67.519997,492700,67.519997
2015-06-16,67.419998,67.57,66.830002,67.089996,573100,67.089996
2015-06-15,66.18,67.470001,66.120003,67.360001,954400,67.360001
