Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,14.32,14.72,14.25,14.71,11487700,14.71
2015-07-30,14.10,14.52,14.01,14.32,8696000,14.32
2015-07-29,13.90,14.00,13.85,13.97,4643200,13.97
2015-07-28,14.06,14.17,13.74,13.91,8544400,13.91
2015-07-27,14.18,14.22,13.91,13.95,7842600,13.95
2015-07-24,14.44,14.44,14.18,14.22,8686100,14.22
2015-07-23,14.85,14.86,14.37,14.44,9512400,14.44
2015-07-22,14.67,14.91,14.66,14.82,5454700,14.82
2015-07-21,14.57,14.84,14.55,14.63,7568800,14.63
2015-07-20,14.81,15.02,14.59,14.63,10763200,14.63
2015-07-17,15.27,15.34,14.54,14.70,16812600,14.70
2015-07-16,15.46,15.52,15.32,15.34,7701200,15.34
2015-07-15,15.62,15.65,15.43,15.45,5789600,15.45
2015-07-14,15.54,15.60,15.47,15.53,4392900,15.53
2015-07-13,15.45,15.64,15.34,15.59,8269500,15.59
2015-07-10,15.45,15.49,15.35,15.39,3661600,15.39
2015-07-09,15.47,15.57,15.25,15.25,5480200,15.25
2015-07-08,15.50,15.62,15.26,15.33,5397500,15.33
2015-07-07,15.44,15.69,15.28,15.68,6289200,15.68
2015-07-06,15.38,15.58,15.37,15.52,3982900,15.52
2015-07-02,15.48,15.66,15.48,15.55,6039700,15.55
2015-07-01,15.48,15.61,15.34,15.55,6394500,15.55
2015-06-30,15.41,15.47,15.24,15.31,5224700,15.31
2015-06-29,15.89,15.95,15.30,15.32,8997200,15.32
2015-06-26,15.77,16.059999,15.77,16.049999,8416000,16.049999
2015-06-25,15.77,15.96,15.73,15.83,9090100,15.83
2015-06-24,16.209999,16.219999,15.55,15.85,17745400,15.85
2015-06-23,16.280001,16.65,16.280001,16.620001,10525400,16.500001
2015-06-22,16.42,16.459999,16.200001,16.33,3926200,16.212094
2015-06-19,16.469999,16.59,16.35,16.379999,10119000,16.261732
2015-06-18,16.33,16.48,16.280001,16.43,7984600,16.311372
2015-06-17,16.16,16.389999,16.139999,16.26,6089200,16.1426
2015-06-16,16.16,16.219999,16.059999,16.139999,3860000,16.023465
2015-06-15,16.27,16.299999,16.040001,16.16,4032100,16.043321
2015-06-12,16.389999,16.469999,16.26,16.33,4820400,16.212094
2015-06-11,16.610001,16.66,16.40,16.469999,4669300,16.351082
2015-06-10,16.290001,16.57,16.23,16.49,6452200,16.370939
2015-06-09,16.32,16.57,16.110001,16.219999,8957900,16.102888
2015-06-08,16.40,16.52,16.34,16.389999,4316400,16.27166
2015-06-05,16.68,16.690001,16.43,16.450001,4210100,16.331228
2015-06-04,16.52,16.74,16.42,16.60,5346000,16.480145
2015-06-03,16.42,16.58,16.379999,16.559999,3899200,16.440433
2015-06-02,16.34,16.60,16.34,16.450001,3663100,16.331228
2015-06-01,16.540001,16.540001,16.24,16.40,5084700,16.281588
2015-05-29,16.51,16.68,16.370001,16.469999,7478900,16.351082
2015-05-28,16.27,16.51,16.190001,16.49,6245400,16.370939
2015-05-27,16.18,16.299999,16.129999,16.219999,3357000,16.102888
2015-05-26,16.200001,16.290001,16.049999,16.15,5318500,16.033393
2015-05-22,16.23,16.389999,16.139999,16.200001,3134800,16.083033
2015-05-21,16.17,16.42,16.129999,16.27,4912700,16.152528
2015-05-20,16.209999,16.32,15.98,16.15,8132000,16.033393
2015-05-19,16.43,16.52,16.32,16.41,5495100,16.291516
2015-05-18,16.370001,16.49,16.309999,16.48,4419800,16.361011
2015-05-15,16.43,16.440001,16.219999,16.40,3261900,16.281588
2015-05-14,16.709999,16.780001,16.33,16.360001,3520500,16.241878
2015-05-13,16.540001,16.84,16.389999,16.60,9663900,16.480145
2015-05-12,16.559999,16.58,16.309999,16.469999,6459300,16.351082
2015-05-11,16.49,16.67,16.43,16.65,4803400,16.529783
2015-05-08,16.469999,16.66,16.459999,16.51,5689700,16.390795
2015-05-07,16.35,16.610001,16.309999,16.459999,4903700,16.341154
2015-05-06,16.610001,16.65,16.32,16.34,4990900,16.222022
2015-05-05,16.559999,16.700001,16.40,16.57,7048100,16.450361
2015-05-04,16.49,16.74,16.43,16.719999,4263500,16.599277
2015-05-01,16.27,16.690001,16.27,16.51,6682400,16.390795
2015-04-30,16.16,16.42,16.08,16.32,8809900,16.202166
2015-04-29,15.95,16.049999,15.86,15.99,6854200,15.874549
2015-04-28,16.030001,16.129999,15.87,16.01,3869700,15.894405
2015-04-27,16.24,16.280001,15.98,15.99,3782200,15.874549
2015-04-24,16.15,16.27,16.09,16.25,4166500,16.132672
2015-04-23,15.98,16.23,15.98,16.190001,4888700,16.073105
2015-04-22,16.110001,16.110001,15.81,15.97,4268500,15.854694
2015-04-21,16.15,16.209999,15.98,16.10,3855800,15.983755
2015-04-20,16.08,16.23,16.01,16.10,6411100,15.983755
2015-04-17,16.280001,16.35,15.95,16.030001,7173300,15.914261
2015-04-16,16.200001,16.49,16.10,16.440001,5130300,16.3213
2015-04-15,16.379999,16.59,16.200001,16.23,5366000,16.112816
2015-04-14,16.129999,16.24,16.120001,16.209999,5527000,16.09296
2015-04-13,16.639999,16.65,16.200001,16.23,4639000,16.112816
2015-04-10,16.530001,16.82,16.309999,16.719999,9455200,16.599277
2015-04-09,16.110001,16.43,16.030001,16.40,8049500,16.281588
2015-04-08,16.09,16.219999,15.98,16.15,7375000,16.033393
2015-04-07,16.040001,16.16,15.93,16.10,6485400,15.983755
2015-04-06,16.059999,16.25,16.01,16.08,5940900,15.963899
2015-04-02,16.35,16.40,16.139999,16.23,5892200,16.112816
2015-04-01,16.530001,16.549999,16.26,16.41,6812600,16.291516
2015-03-31,16.620001,16.799999,16.25,16.290001,9788200,16.172384
2015-03-30,16.139999,16.719999,16.10,16.700001,9020200,16.579423
2015-03-27,16.040001,16.209999,15.85,16.110001,5599200,15.993683
2015-03-26,16.440001,16.440001,15.92,16.02,8429000,15.904333
2015-03-25,16.799999,16.92,16.540001,16.549999,8196900,16.430505
2015-03-24,16.77,17.040001,16.58,16.90,10555600,16.658845
2015-03-23,16.559999,16.93,16.459999,16.809999,10068700,16.570129
2015-03-20,16.16,16.360001,15.96,16.25,10362200,16.01812
2015-03-19,16.32,16.34,15.96,16.049999,5332800,15.820973
2015-03-18,16.02,16.35,15.99,16.33,9029800,16.096978
2015-03-17,15.97,16.32,15.91,16.18,7663700,15.949119
2015-03-16,16.08,16.23,15.91,16.040001,5535900,15.811118
2015-03-13,16.15,16.17,15.86,16.01,5057300,15.781545
2015-03-12,16.110001,16.24,15.98,16.209999,6265700,15.97869
2015-03-11,16.120001,16.209999,15.72,15.90,7783900,15.673114
2015-03-10,16.01,16.120001,15.88,16.02,8966800,15.791403
2015-03-09,16.030001,16.23,15.98,16.17,6598100,15.939262
2015-03-06,16.139999,16.35,15.95,16.049999,10820300,15.820973
2015-03-05,16.51,16.639999,16.469999,16.50,7510300,16.264553
2015-03-04,16.76,16.98,16.51,16.59,8026600,16.353269
2015-03-03,17.02,17.02,16.76,16.809999,7929000,16.570129
2015-03-02,16.75,17.049999,16.620001,17.02,24485000,16.777133
2015-02-27,16.34,16.799999,16.09,16.77,13070800,16.5307
2015-02-26,16.700001,16.700001,16.370001,16.379999,8632000,16.146264
2015-02-25,16.60,16.90,16.58,16.639999,9443700,16.402554
2015-02-24,16.549999,16.91,16.51,16.82,12743700,16.579986
2015-02-23,16.75,16.82,16.360001,16.58,9765000,16.343411
2015-02-20,16.77,16.879999,16.57,16.790001,6399600,16.550415
2015-02-19,16.98,17.059999,16.82,16.82,8056700,16.579986
2015-02-18,17.00,17.219999,16.879999,17.030001,5442500,16.786991
2015-02-17,16.809999,17.01,16.719999,17.01,8745600,16.767276
2015-02-13,17.120001,17.190001,16.84,16.860001,7771300,16.619416
2015-02-12,17.24,17.27,17.049999,17.08,9608000,16.836276
2015-02-11,16.99,17.25,16.93,17.129999,14107200,16.885562
2015-02-10,17.110001,17.139999,16.870001,16.950001,15145400,16.708132
2015-02-09,16.50,17.120001,16.43,17.120001,23574900,16.875706
2015-02-06,17.08,17.129999,16.43,16.57,15390100,16.333554
2015-02-05,16.809999,17.18,16.60,16.969999,19991200,16.727845
2015-02-04,17.549999,17.709999,16.700001,16.73,65259200,16.49127
2015-02-03,19.00,19.40,18.49,19.01,39426200,18.738736
2015-02-02,17.24,17.309999,16.709999,17.139999,6867700,16.89542
2015-01-30,17.00,17.18,16.82,17.049999,7759200,16.806704
2015-01-29,16.91,17.129999,16.65,17.10,5859900,16.855991
2015-01-28,16.950001,17.219999,16.780001,16.84,9282300,16.599701
2015-01-27,16.799999,16.959999,16.700001,16.91,4382500,16.668702
2015-01-26,16.799999,16.90,16.709999,16.870001,5712600,16.629274
2015-01-23,16.889999,17.02,16.57,16.790001,5702600,16.550415
2015-01-22,16.610001,16.98,16.469999,16.91,6275500,16.668702
2015-01-21,16.360001,16.74,16.23,16.49,11972800,16.254695
2015-01-20,17.40,17.41,16.280001,16.389999,13415400,16.156122
2015-01-16,17.00,17.43,16.76,17.35,9243000,17.102424
2015-01-15,17.27,17.33,16.790001,17.00,9084600,16.757418
2015-01-14,17.049999,17.43,16.84,17.33,8964000,17.082709
2015-01-13,17.309999,17.43,16.75,16.98,12842000,16.737703
2015-01-12,17.209999,17.32,17.059999,17.24,5956900,16.993993
2015-01-09,17.379999,17.50,16.860001,17.219999,12682400,16.974278
2015-01-08,17.76,17.98,17.719999,17.74,10395900,17.486858
2015-01-07,17.40,17.799999,17.40,17.66,6921700,17.408
2015-01-06,17.459999,17.610001,17.190001,17.309999,10743400,17.062994
2015-01-05,17.58,17.700001,17.24,17.440001,15427000,17.19114
