Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,77.150002,77.330002,76.410004,76.559998,1908500,76.559998
2015-07-30,76.449997,77.160004,76.370003,77.150002,1218500,77.150002
2015-07-29,76.290001,76.50,75.93,76.419998,1873900,76.419998
2015-07-28,75.230003,76.18,74.790001,76.169998,2736700,76.169998
2015-07-27,74.599998,74.980003,73.629997,74.830002,3448800,74.830002
2015-07-24,77.800003,77.800003,75.120003,75.379997,5198500,75.379997
2015-07-23,80.889999,81.260002,79.480003,79.709999,2051700,79.709999
2015-07-22,79.540001,81.029999,79.540001,80.82,2157700,80.82
2015-07-21,79.650002,80.790001,79.339996,79.949997,1803100,79.949997
2015-07-20,79.550003,80.050003,79.010002,79.800003,1961500,79.800003
2015-07-17,79.160004,79.470001,78.910004,79.379997,1447400,79.379997
2015-07-16,78.300003,79.449997,78.300003,79.300003,2399900,79.300003
2015-07-15,77.849998,78.099998,77.449997,77.989998,1288200,77.989998
2015-07-14,76.860001,77.620003,76.860001,77.540001,1526000,77.540001
2015-07-13,77.019997,77.300003,76.589996,77.220001,1690000,77.220001
2015-07-10,75.919998,76.339996,75.639999,75.970001,2039600,75.970001
2015-07-09,75.720001,76.279999,74.860001,74.949997,2543100,74.949997
2015-07-08,75.879997,75.970001,74.50,74.599998,1380200,74.599998
2015-07-07,76.470001,76.760002,74.610001,76.629997,1929500,76.629997
2015-07-06,76.07,76.660004,75.839996,76.620003,1270300,76.620003
2015-07-02,77.120003,77.410004,76.400002,77.010002,1385400,77.010002
2015-07-01,77.93,78.059998,77.089996,77.43,1408400,77.43
2015-06-30,77.43,77.730003,76.199997,77.00,2403000,77.00
2015-06-29,77.699997,78.050003,76.260002,76.290001,2315200,76.290001
2015-06-26,79.00,79.230003,78.660004,78.980003,2453400,78.640003
2015-06-25,79.910004,79.980003,78.660004,78.660004,1823600,78.321381
2015-06-24,79.529999,80.120003,79.419998,79.760002,2429600,79.416644
2015-06-23,79.870003,80.209999,79.660004,79.900002,1727600,79.556041
2015-06-22,79.940002,79.989998,79.330002,79.519997,1955800,79.177672
2015-06-19,79.169998,79.839996,78.760002,78.949997,3133000,78.610126
2015-06-18,79.82,80.339996,79.190002,79.910004,1763600,79.566
2015-06-17,80.089996,80.360001,79.199997,79.489998,1980100,79.147802
2015-06-16,79.50,80.239998,79.470001,79.839996,1752800,79.496294
2015-06-15,79.949997,80.209999,79.190002,79.82,1541800,79.476384
2015-06-12,80.730003,81.129997,80.139999,80.639999,1999900,80.292853
2015-06-11,80.739998,81.160004,80.470001,80.839996,1260200,80.491989
