Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,119.43,120.160004,118.919998,120.019997,1372700,120.019997
2015-07-30,117.730003,119.610001,116.559998,119.00,753700,119.00
2015-07-29,118.029999,118.989998,117.720001,118.629997,690500,118.629997
2015-07-28,118.00,118.00,116.550003,117.739998,750800,117.739998
2015-07-27,116.010002,117.400002,115.410004,117.339996,998000,117.339996
2015-07-24,117.43,118.129997,116.32,116.43,665500,116.43
2015-07-23,119.360001,119.580002,117.349998,117.559998,641100,117.559998
2015-07-22,116.889999,119.410004,116.489998,119.370003,1051600,119.370003
2015-07-21,117.730003,118.080002,116.459999,116.989998,472600,116.989998
2015-07-20,117.800003,118.25,117.440002,117.919998,481300,117.919998
2015-07-17,117.199997,117.989998,117.139999,117.779999,724200,117.779999
2015-07-16,117.279999,117.790001,116.75,117.540001,762200,117.540001
2015-07-15,117.660004,117.830002,116.349998,116.440002,836400,116.440002
2015-07-14,116.900002,117.800003,116.589996,117.650002,952900,117.650002
2015-07-13,116.489998,117.099998,116.209999,117.040001,692200,117.040001
2015-07-10,116.870003,117.300003,115.779999,116.040001,630200,116.040001
2015-07-09,117.389999,117.760002,115.449997,115.540001,806500,115.540001
2015-07-08,116.849998,117.18,115.650002,115.879997,909400,115.879997
2015-07-07,116.300003,117.730003,114.669998,117.50,1176500,117.50
2015-07-06,116.139999,116.629997,115.599998,116.220001,1481100,116.220001
2015-07-02,116.879997,118.739998,116.32,117.089996,1630500,117.089996
2015-07-01,120.370003,120.540001,116.00,116.00,2548100,116.00
2015-06-30,116.699997,117.07,115.879997,116.019997,1315800,116.019997
2015-06-29,116.629997,117.209999,115.529999,115.599998,866000,115.599998
2015-06-26,118.07,118.269997,116.910004,117.400002,1337300,117.400002
2015-06-25,118.18,118.75,117.589996,117.669998,1149400,117.669998
2015-06-24,119.410004,119.709999,117.629997,117.739998,1068700,117.739998
2015-06-23,120.169998,120.220001,119.32,119.419998,960700,119.419998
2015-06-22,120.419998,120.419998,119.290001,119.559998,1038700,119.559998
2015-06-19,119.959999,120.110001,119.099998,119.50,1226400,119.50
2015-06-18,120.32,120.739998,119.379997,120.269997,1244100,120.269997
2015-06-17,118.230003,119.449997,118.18,119.080002,1209600,119.080002
2015-06-16,117.029999,118.540001,116.410004,117.75,1127900,117.75
2015-06-15,119.900002,119.900002,116.57,117.029999,2265000,117.029999
2015-06-12,120.260002,120.75,119.839996,120.519997,528200,120.519997
2015-06-11,122.080002,122.129997,120.82,121.029999,674500,121.029999
2015-06-10,120.480003,121.949997,120.220001,121.75,787600,121.75
2015-06-09,120.059998,120.489998,118.879997,120.309998,686600,120.309998
2015-06-08,119.599998,121.099998,119.029999,119.889999,939500,119.889999
2015-06-05,119.139999,119.489998,118.010002,118.870003,704400,118.870003
2015-06-04,121.169998,121.370003,119.330002,119.550003,693000,119.550003
2015-06-03,120.769997,121.410004,119.730003,121.389999,814100,121.389999
2015-06-02,119.18,120.419998,118.330002,120.019997,658100,120.019997
2015-06-01,118.790001,120.730003,118.790001,119.839996,833400,119.839996
2015-05-29,119.029999,119.190002,117.339996,117.889999,766300,117.889999
2015-05-28,118.239998,119.309998,117.910004,119.029999,495500,119.029999
2015-05-27,117.779999,118.459999,117.279999,118.239998,487600,118.239998
2015-05-26,118.139999,118.580002,117.330002,117.489998,814100,117.489998
2015-05-22,118.949997,119.260002,117.93,118.279999,544800,118.279999
2015-05-21,119.260002,119.989998,118.43,119.010002,592500,119.010002
2015-05-20,119.559998,120.480003,119.150002,119.519997,637200,119.519997
2015-05-19,119.120003,120.339996,118.889999,119.510002,940500,119.510002
2015-05-18,118.629997,119.419998,118.330002,119.010002,719100,119.010002
2015-05-15,117.720001,118.510002,117.150002,118.449997,798300,118.449997
2015-05-14,116.50,117.580002,116.190002,117.510002,1030200,117.510002
2015-05-13,115.599998,116.529999,115.120003,115.610001,769600,115.610001
2015-05-12,116.589996,116.699997,114.980003,115.68,1022200,115.68
2015-05-11,115.919998,118.580002,115.919998,117.220001,1241700,117.220001
2015-05-08,115.849998,116.860001,115.849998,116.32,853300,116.32
2015-05-07,114.900002,116.00,114.650002,115.309998,1285800,115.309998
2015-05-06,116.510002,116.550003,114.769997,115.080002,813200,115.080002
2015-05-05,116.779999,116.959999,115.730003,116.040001,1314400,115.730002
2015-05-04,117.080002,118.239998,116.779999,117.32,990200,117.006582
2015-05-01,116.470001,117.330002,115.849998,117.190002,1142400,116.876932
2015-04-30,116.129997,116.93,115.739998,115.940002,1314900,115.630271
2015-04-29,116.449997,116.769997,115.879997,116.260002,850800,115.949416
2015-04-28,116.00,117.919998,116.00,117.120003,812100,116.807119
2015-04-27,115.959999,116.550003,115.57,116.360001,820700,116.049147
2015-04-24,115.919998,116.199997,115.260002,115.639999,685100,115.331069
2015-04-23,115.459999,116.870003,115.25,116.00,843800,115.690108
2015-04-22,117.00,117.349998,115.900002,115.989998,967700,115.680133
