Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,101.919998,102.800003,101.589996,102.269997,1239100,102.269997
2015-07-30,101.82,102.019997,101.309998,101.839996,673000,101.839996
2015-07-29,102.059998,102.300003,101.370003,101.980003,1219300,101.980003
2015-07-28,100.57,101.75,99.980003,101.610001,1110600,101.610001
2015-07-27,100.839996,101.190002,99.690002,100.019997,2172900,100.019997
2015-07-24,100.050003,103.989998,99.830002,100.970001,3012400,100.970001
2015-07-23,98.959999,98.959999,98.010002,98.25,1612100,98.25
2015-07-22,98.889999,99.209999,98.07,98.540001,1348400,98.540001
2015-07-21,98.459999,99.239998,98.220001,99.059998,1211800,99.059998
2015-07-20,98.269997,98.660004,98.050003,98.379997,625400,98.379997
2015-07-17,97.870003,98.239998,97.459999,98.209999,867300,98.209999
2015-07-16,98.290001,98.330002,97.400002,98.169998,1110000,98.169998
2015-07-15,98.279999,98.300003,97.440002,97.510002,1064700,97.510002
2015-07-14,97.769997,98.50,97.449997,98.260002,782200,98.260002
2015-07-13,97.00,97.690002,96.910004,97.629997,745500,97.629997
2015-07-10,96.699997,96.910004,95.809998,96.370003,1189600,96.370003
2015-07-09,96.75,96.870003,95.639999,95.660004,945300,95.660004
2015-07-08,96.449997,96.519997,95.400002,95.419998,904500,95.419998
2015-07-07,96.379997,96.989998,95.050003,96.900002,1012100,96.900002
2015-07-06,94.919998,96.050003,94.769997,95.989998,850300,95.989998
2015-07-02,96.25,96.290001,95.25,95.760002,636100,95.760002
2015-07-01,96.230003,96.43,95.440002,96.07,782800,96.07
2015-06-30,96.300003,96.480003,95.349998,95.57,980800,95.57
2015-06-29,96.660004,97.330002,95.279999,95.360001,1132100,95.360001
2015-06-26,96.480003,97.940002,96.309998,97.339996,1492800,97.339996
2015-06-25,96.889999,97.18,96.290001,96.449997,860000,96.104996
2015-06-24,96.410004,97.269997,96.129997,96.720001,1393500,96.374034
2015-06-23,97.300003,97.669998,96.480003,96.620003,957900,96.274394
2015-06-22,97.50,97.900002,97.230003,97.400002,604700,97.051602
2015-06-19,97.059998,97.300003,96.709999,96.879997,1135400,96.533458
2015-06-18,95.410004,97.330002,95.370003,97.150002,1081600,96.802497
2015-06-17,95.339996,95.50,94.57,95.099998,686100,94.759826
2015-06-16,94.57,95.309998,94.370003,95.160004,719900,94.819617
2015-06-15,95.050003,95.169998,93.900002,94.669998,1187600,94.331364
2015-06-12,96.110001,96.489998,95.529999,95.669998,629200,95.327787
2015-06-11,96.120003,96.849998,95.870003,96.540001,798500,96.194678
2015-06-10,94.50,96.110001,94.160004,96.010002,1194400,95.666575
2015-06-09,94.470001,94.739998,93.949997,94.160004,757100,93.823194
2015-06-08,94.959999,95.459999,94.599998,94.620003,610600,94.281548
2015-06-05,95.040001,95.379997,94.489998,95.199997,783000,94.859467
2015-06-04,95.769997,95.970001,94.730003,95.040001,968000,94.700043
2015-06-03,96.449997,96.449997,95.610001,96.040001,605000,95.696466
2015-06-02,95.75,96.639999,95.139999,96.110001,776900,95.766216
2015-06-01,96.669998,96.839996,95.440002,96.120003,831400,95.776182
2015-05-29,96.150002,97.120003,95.730003,96.129997,1330000,95.786141
2015-05-28,96.459999,96.940002,95.830002,96.239998,862600,95.895748
2015-05-27,96.00,96.790001,95.550003,96.589996,889500,96.244495
2015-05-26,96.370003,96.370003,95.300003,95.529999,1164400,95.188289
2015-05-22,96.190002,96.709999,95.790001,96.440002,1267900,96.095037
2015-05-21,96.650002,96.839996,96.129997,96.400002,744300,96.055179
2015-05-20,96.669998,97.57,96.669998,96.779999,983800,96.433817
2015-05-19,96.480003,96.959999,96.160004,96.68,1025800,96.334177
2015-05-18,95.690002,96.889999,95.529999,96.589996,995700,96.244495
2015-05-15,95.230003,95.68,95.00,95.510002,1260900,95.168363
2015-05-14,93.660004,95.339996,93.339996,95.260002,1319700,94.919258
2015-05-13,93.150002,93.809998,92.709999,92.910004,821400,92.577665
2015-05-12,93.980003,94.139999,93.040001,93.080002,1098300,92.747055
2015-05-11,94.589996,94.879997,94.199997,94.360001,741500,94.022475
2015-05-08,93.769997,94.800003,93.489998,94.559998,1258400,94.221757
2015-05-07,92.370003,93.279999,92.370003,92.610001,801500,92.278735
2015-05-06,93.370003,93.470001,92.129997,92.559998,984900,92.228911
2015-05-05,93.209999,93.550003,92.470001,92.900002,1028700,92.567699
2015-05-04,93.650002,94.150002,93.459999,93.629997,1044600,93.295083
2015-05-01,92.809998,93.449997,92.480003,93.400002,1275700,93.06591
2015-04-30,93.599998,93.989998,91.779999,92.239998,1923500,91.910056
2015-04-29,94.949997,94.949997,93.18,94.32,1260000,93.982618
2015-04-28,94.620003,95.410004,93.550003,95.099998,1619100,94.759826
2015-04-27,97.440002,97.440002,94.50,94.629997,1840500,94.291506
2015-04-24,96.769997,97.160004,96.470001,96.900002,1284500,96.553391
2015-04-23,96.449997,97.419998,96.199997,97.18,1620100,96.832388
2015-04-22,95.00,97.300003,95.00,96.449997,2463600,96.104996
2015-04-21,94.00,94.809998,93.730003,94.709999,1959400,94.371222
2015-04-20,93.00,93.540001,92.730003,93.349998,1345300,93.016086
2015-04-17,91.540001,92.790001,91.169998,92.50,2041600,92.169128
2015-04-16,92.150002,92.389999,91.779999,92.18,877000,91.850273
2015-04-15,92.580002,92.970001,92.099998,92.290001,752100,91.95988
2015-04-14,92.900002,93.279999,91.900002,92.540001,1478100,92.208986
2015-04-13,93.360001,93.970001,92.949997,93.099998,1334900,92.76698
2015-04-10,92.919998,94.059998,92.919998,93.739998,1101700,93.40469
2015-04-09,91.790001,93.110001,91.610001,93.07,1379900,92.737089
2015-04-08,91.68,92.339996,91.410004,92.019997,1093100,91.690842
2015-04-07,91.940002,92.389999,91.459999,91.480003,1038900,91.15278
2015-04-06,90.449997,92.18,90.360001,91.760002,1152600,91.431777
2015-04-02,90.220001,91.870003,90.190002,91.120003,1042300,90.794067
2015-04-01,92.459999,92.580002,90.629997,91.18,2005600,90.85385
2015-03-31,92.870003,93.580002,92.25,92.25,1199500,91.920022
2015-03-30,93.120003,93.860001,92.809998,93.550003,1016600,93.215375
2015-03-27,91.260002,92.730003,91.260002,92.559998,1229700,92.228911
2015-03-26,91.900002,92.230003,91.290001,91.529999,1049700,90.858833
2015-03-25,93.519997,94.239998,92.209999,92.290001,1190200,91.613262
2015-03-24,93.57,94.330002,93.360001,93.419998,961100,92.734973
2015-03-23,93.489998,94.18,93.150002,93.709999,918800,93.022848
2015-03-20,94.040001,94.400002,93.440002,93.650002,2101900,92.96329
2015-03-19,93.019997,93.760002,92.839996,93.57,945500,92.883875
2015-03-18,91.57,93.830002,91.300003,93.110001,1382200,92.427249
2015-03-17,92.089996,92.440002,91.690002,91.889999,1036200,91.216194
2015-03-16,91.839996,93.040001,91.839996,92.779999,1177100,92.099667
2015-03-13,91.830002,92.400002,90.709999,91.290001,1254400,90.620595
2015-03-12,90.550003,92.040001,90.459999,91.949997,892100,91.275751
2015-03-11,90.360001,90.959999,90.120003,90.459999,1106900,89.796679
2015-03-10,90.120003,90.860001,89.839996,90.300003,1538900,89.637856
2015-03-09,90.370003,91.150002,90.360001,91.019997,1021800,90.35257
2015-03-06,92.50,92.50,89.809998,90.07,2129900,89.40954
2015-03-05,92.349998,93.129997,92.339996,92.989998,1543500,92.308126
2015-03-04,92.349998,93.029999,91.550003,92.370003,1587800,91.692677
2015-03-03,95.709999,95.830002,92.239998,92.440002,2993000,91.762164
2015-03-02,94.75,96.18,94.75,96.010002,1081400,95.305986
2015-02-27,94.449997,95.25,94.349998,94.75,1340000,94.055223
2015-02-26,94.610001,94.860001,94.019997,94.400002,998100,93.707791
2015-02-25,94.68,94.910004,94.279999,94.57,990400,93.876542
2015-02-24,95.389999,95.699997,94.660004,94.879997,1093800,94.184267
2015-02-23,95.25,95.800003,95.050003,95.599998,875900,94.898988
2015-02-20,93.959999,95.330002,93.75,95.25,1115700,94.551556
2015-02-19,95.099998,95.389999,94.309998,94.559998,839100,93.866613
2015-02-18,95.110001,95.309998,94.449997,95.25,1008200,94.551556
