Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,36.23,36.50,36.139999,36.310001,3097100,36.310001
2015-07-30,36.099998,36.119999,35.919998,36.060001,3137200,36.060001
2015-07-29,36.07,36.34,35.990002,36.25,2737200,36.25
2015-07-28,35.84,36.049999,35.619999,36.02,3920100,36.02
2015-07-27,35.889999,35.889999,35.549999,35.779999,4181500,35.779999
2015-07-24,36.139999,36.139999,35.889999,36.00,3058800,36.00
2015-07-23,36.200001,36.330002,36.07,36.139999,3469900,36.139999
2015-07-22,36.290001,36.41,36.139999,36.220001,3356100,36.220001
2015-07-21,36.25,36.419998,36.139999,36.299999,4273500,36.299999
2015-07-20,36.32,36.32,36.029999,36.27,2839500,36.27
2015-07-17,36.09,36.360001,35.959999,36.349998,3565700,36.349998
2015-07-16,36.110001,36.220001,35.98,36.139999,2194900,36.139999
2015-07-15,36.18,36.310001,35.970001,36.029999,2383800,36.029999
2015-07-14,36.110001,36.23,36.009998,36.169998,2633400,36.169998
2015-07-13,36.16,36.32,36.07,36.119999,2975400,36.119999
2015-07-10,36.259998,36.32,36.009998,36.049999,2521100,36.049999
2015-07-09,36.41,36.470001,36.00,36.00,4578500,36.00
2015-07-08,35.849998,36.220001,35.700001,36.049999,5114100,36.049999
2015-07-07,35.68,36.139999,35.450001,36.029999,4365700,36.029999
2015-07-06,35.700001,35.919998,35.50,35.68,8391000,35.68
2015-07-02,36.00,36.09,35.740002,35.919998,5430200,35.919998
2015-07-01,35.900002,36.169998,35.77,35.990002,11503100,35.990002
2015-06-30,37.25,37.27,35.970001,36.099998,16803700,36.099998
2015-06-29,38.419998,38.419998,37.419998,37.540001,11969300,37.24
2015-06-26,38.209999,38.43,38.099998,38.369999,10551300,38.063365
2015-06-25,38.700001,38.709999,38.060001,38.299999,9127700,37.993925
2015-06-24,37.209999,38.990002,37.130001,38.75,15418800,38.44033
2015-06-23,37.59,37.610001,37.450001,37.59,1965500,37.2896
2015-06-22,37.50,37.66,37.43,37.599998,2041700,37.299518
2015-06-19,37.290001,37.580002,37.27,37.380001,3980200,37.081279
2015-06-18,37.419998,37.700001,37.360001,37.400002,3026000,37.10112
2015-06-17,37.25,37.369999,37.00,37.310001,3743800,37.011839
2015-06-16,37.009998,37.290001,37.009998,37.25,2199600,36.952317
2015-06-15,36.709999,37.080002,36.68,37.009998,3488900,36.714233
2015-06-12,37.130001,37.189999,36.919998,36.919998,5712200,36.624952
2015-06-11,37.25,37.459999,37.119999,37.130001,6312100,36.833277
2015-06-10,37.23,37.439999,37.18,37.23,3804900,36.932476
2015-06-09,37.599998,37.599998,37.080002,37.099998,3119600,36.803514
2015-06-08,37.049999,37.189999,37.00,37.060001,2749200,36.763837
2015-06-05,37.439999,37.470001,37.029999,37.09,5086200,36.793596
2015-06-04,37.57,37.610001,37.349998,37.52,6661500,37.22016
2015-06-03,37.459999,37.599998,37.16,37.57,3835300,37.269759
2015-06-02,37.220001,37.41,37.040001,37.299999,3209500,37.001917
2015-06-01,37.209999,37.419998,37.07,37.23,4107900,36.932476
2015-05-29,37.240002,37.310001,37.099998,37.16,4846300,36.863036
2015-05-28,37.540001,37.57,37.209999,37.25,2315900,36.952317
2015-05-27,37.48,37.610001,37.310001,37.549999,1610100,37.249919
2015-05-26,37.580002,37.720001,37.389999,37.48,2623100,37.180478
2015-05-22,37.990002,38.029999,37.669998,37.669998,1985100,37.368959
2015-05-21,38.02,38.240002,37.790001,38.099998,2262700,37.795523
2015-05-20,38.310001,38.349998,37.93,38.07,2864600,37.765764
2015-05-19,38.209999,38.48,37.950001,38.299999,6950000,37.993925
