Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,70.199997,71.209999,69.879997,71.139999,1475300,71.139999
2015-07-30,69.57,70.169998,69.07,70.07,1197600,70.07
2015-07-29,69.589996,70.199997,69.099998,70.040001,2291600,70.040001
2015-07-28,69.639999,69.709999,68.629997,69.309998,1337100,68.899997
2015-07-27,69.519997,69.709999,68.57,69.540001,1404100,69.12864
2015-07-24,70.860001,71.010002,69.68,70.00,715800,69.585918
2015-07-23,71.260002,71.260002,70.699997,70.82,1164800,70.401067
2015-07-22,71.269997,71.940002,71.169998,71.360001,739700,70.937873
2015-07-21,71.739998,72.339996,71.050003,71.32,686400,70.898109
2015-07-20,71.599998,72.050003,71.440002,71.720001,828900,71.295744
2015-07-17,71.800003,72.18,71.339996,71.650002,1913200,71.226159
2015-07-16,72.199997,72.379997,71.919998,72.18,784200,71.753022
2015-07-15,71.769997,72.080002,71.18,71.68,1075000,71.25598
2015-07-14,72.220001,72.220001,71.400002,71.639999,1111800,71.216216
2015-07-13,71.400002,72.379997,71.129997,72.169998,1679500,71.743079
2015-07-10,72.029999,72.290001,70.809998,71.089996,912900,70.669466
2015-07-09,71.169998,71.709999,70.660004,71.190002,1999100,70.768881
2015-07-08,70.300003,71.169998,69.790001,70.089996,1869600,69.675382
2015-07-07,69.389999,70.349998,68.50,70.160004,1320000,69.744975
2015-07-06,69.400002,69.57,69.00,69.419998,1705700,69.009347
2015-07-02,70.040001,70.370003,69.510002,70.059998,1053900,69.64556
2015-07-01,70.360001,70.959999,70.129997,70.25,1181400,69.834439
2015-06-30,71.25,71.470001,69.690002,69.809998,1575900,69.397039
2015-06-29,71.559998,71.75,70.550003,70.589996,1254300,70.172424
2015-06-26,72.599998,73.07,72.209999,72.290001,992300,71.862372
2015-06-25,72.529999,72.800003,72.080002,72.169998,1497900,71.743079
2015-06-24,72.129997,73.889999,72.129997,72.57,2284700,72.140715
2015-06-23,72.709999,73.589996,72.220001,72.230003,2154500,71.802729
2015-06-22,73.769997,74.150002,73.610001,73.849998,1125500,73.413142
2015-06-19,73.43,73.660004,73.019997,73.18,1394300,72.747107
2015-06-18,73.410004,74.120003,73.010002,73.720001,1168800,73.283913
2015-06-17,72.50,73.110001,72.239998,72.970001,1177400,72.53835
2015-06-16,71.459999,72.720001,70.900002,72.510002,1440100,72.081072
2015-06-15,72.410004,72.650002,71.279999,71.400002,2043400,70.977637
2015-06-12,72.50,72.830002,72.349998,72.769997,909500,72.339528
2015-06-11,72.809998,72.839996,72.43,72.720001,912300,72.289829
2015-06-10,72.809998,73.129997,72.50,72.650002,1118700,72.220243
2015-06-09,72.949997,73.120003,71.989998,72.459999,1424000,72.031365
2015-06-08,72.639999,73.959999,72.230003,72.839996,1812500,72.409114
2015-06-05,74.709999,75.120003,71.620003,72.610001,5433600,72.180479
2015-06-04,74.32,75.110001,74.199997,74.860001,2078600,74.417169
2015-06-03,74.150002,74.839996,73.900002,74.760002,1305300,74.317762
2015-06-02,72.809998,74.279999,72.669998,74.019997,1715900,73.582134
2015-06-01,73.32,73.849998,72.830002,73.080002,1455100,72.6477
2015-05-29,74.190002,74.400002,73.260002,73.379997,1377700,72.945921
2015-05-28,73.959999,74.769997,73.839996,74.540001,1755000,74.099062
2015-05-27,73.290001,73.57,72.940002,72.970001,1534400,72.53835
2015-05-26,74.080002,74.32,73.529999,73.650002,1275100,72.806753
2015-05-22,74.889999,75.230003,74.050003,74.239998,1299900,73.389995
2015-05-21,75.360001,75.720001,74.93,75.07,1159100,74.210493
2015-05-20,75.830002,76.190002,75.50,75.550003,1463900,74.685001
2015-05-19,75.879997,76.300003,75.43,75.690002,1928600,74.823398
2015-05-18,74.830002,75.769997,74.620003,75.610001,1213900,74.744312
2015-05-15,75.059998,75.190002,74.769997,75.00,1175100,74.141295
2015-05-14,75.190002,75.559998,74.739998,75.050003,1872000,74.190726
2015-05-13,73.970001,74.919998,73.769997,74.620003,2083000,73.765649
2015-05-12,74.50,74.550003,73.510002,73.980003,1216000,73.132977
2015-05-11,74.349998,75.489998,74.110001,74.93,2533800,74.072097
2015-05-08,74.610001,75.00,73.459999,74.550003,1987500,73.69645
2015-05-07,73.169998,75.080002,71.50,74.019997,4365900,73.172512
2015-05-06,73.50,74.00,72.910004,73.519997,1715900,72.678237
2015-05-05,73.50,73.68,72.730003,72.919998,1753900,72.085108
2015-05-04,74.099998,74.260002,73.470001,73.650002,906900,72.806753
2015-05-01,73.589996,74.139999,73.169998,74.040001,1053600,73.192288
