Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,36.73,37.529999,36.689999,37.110001,1996000,37.110001
2015-07-30,36.299999,36.73,36.040001,36.599998,639800,36.599998
2015-07-29,36.040001,36.509998,35.689999,36.380001,1390400,36.380001
2015-07-28,35.84,36.279999,35.48,36.150002,576600,36.150002
2015-07-27,35.610001,35.830002,35.369999,35.740002,961100,35.740002
2015-07-24,36.68,36.880001,35.66,35.869999,983400,35.869999
2015-07-23,36.740002,37.07,36.619999,36.709999,924200,36.709999
2015-07-22,36.52,36.939999,36.400002,36.610001,977800,36.610001
2015-07-21,36.669998,36.84,36.389999,36.630001,1234600,36.630001
2015-07-20,35.810001,37.029999,35.810001,36.849998,1653600,36.849998
2015-07-17,35.68,35.68,35.189999,35.619999,1717600,35.619999
2015-07-16,36.009998,36.220001,35.41,35.759998,1949100,35.759998
2015-07-15,36.279999,36.43,35.939999,35.990002,762900,35.990002
2015-07-14,36.259998,36.439999,36.060001,36.310001,820700,36.310001
2015-07-13,36.240002,36.419998,36.119999,36.299999,512100,36.299999
2015-07-10,35.93,36.110001,35.82,35.93,710300,35.93
2015-07-09,36.150002,36.150002,35.119999,35.560001,1093600,35.560001
2015-07-08,35.630001,35.950001,35.360001,35.41,1342800,35.41
2015-07-07,35.66,35.959999,35.110001,35.91,858100,35.91
2015-07-06,35.630001,35.990002,35.400002,35.619999,1250000,35.619999
2015-07-02,36.279999,36.490002,35.939999,36.02,1141400,36.02
2015-07-01,37.259998,37.27,35.919998,36.200001,2462700,36.200001
2015-06-30,37.279999,37.279999,36.869999,37.00,1752600,37.00
2015-06-29,37.099998,37.310001,36.900002,36.950001,1792500,36.950001
2015-06-26,37.50,37.610001,37.200001,37.299999,2219400,37.299999
2015-06-25,37.669998,37.849998,37.439999,37.52,1605700,37.52
2015-06-24,38.07,38.240002,37.580002,37.599998,1611700,37.599998
2015-06-23,38.529999,38.540001,37.98,38.07,3600900,38.07
2015-06-22,38.59,38.950001,38.509998,38.560001,1000900,38.560001
2015-06-19,38.959999,39.029999,38.330002,38.360001,2161300,38.360001
2015-06-18,38.709999,39.16,38.610001,39.02,950600,39.02
2015-06-17,38.299999,38.720001,38.16,38.650002,1899200,38.650002
2015-06-16,37.529999,38.310001,37.52,38.25,1390100,38.25
2015-06-15,37.610001,37.759998,36.529999,37.50,3750100,37.50
2015-06-12,38.490002,38.830002,38.34,38.57,1679900,38.57
2015-06-11,39.049999,39.349998,38.450001,38.560001,1903800,38.560001
2015-06-10,38.950001,39.52,38.860001,39.040001,1308500,39.040001
2015-06-09,38.900002,38.990002,38.700001,38.77,791300,38.77
2015-06-08,39.080002,39.23,38.720001,38.869999,1001200,38.869999
2015-06-05,39.02,39.27,38.84,39.169998,890700,39.169998
2015-06-04,39.630001,39.709999,39.00,39.119999,987400,39.119999
2015-06-03,39.450001,40.209999,39.189999,40.00,1673600,40.00
2015-06-02,38.529999,39.360001,38.50,39.25,1207300,39.25
2015-06-01,38.950001,39.00,38.470001,38.619999,1304000,38.619999
2015-05-29,38.66,39.169998,38.540001,38.939999,1938500,38.939999
2015-05-28,38.84,38.900002,38.400002,38.73,1286000,38.73
2015-05-27,38.790001,39.060001,38.459999,38.830002,1613000,38.830002
2015-05-26,39.48,39.529999,38.580002,38.700001,2099500,38.700001
2015-05-22,39.919998,40.07,39.360001,39.57,1479600,39.57
2015-05-21,40.119999,40.279999,39.919998,39.93,742200,39.93
2015-05-20,40.459999,40.639999,39.98,40.23,1889800,40.23
2015-05-19,40.560001,40.759998,40.119999,40.290001,1089500,40.290001
2015-05-18,40.119999,40.549999,40.029999,40.459999,1396500,40.459999
2015-05-15,40.830002,40.93,40.02,40.220001,1412400,40.220001
2015-05-14,40.82,40.970001,40.310001,40.82,1409700,40.82
2015-05-13,40.02,40.91,40.009998,40.639999,2925900,40.639999
2015-05-12,39.98,40.200001,39.52,40.009998,2013100,40.009998
2015-05-11,40.75,40.970001,39.919998,40.110001,3766300,40.110001
2015-05-08,41.50,41.740002,40.639999,40.860001,2830400,40.860001
2015-05-07,42.200001,42.419998,40.040001,41.799999,7767600,41.799999
2015-05-06,44.75,44.939999,44.330002,44.939999,1839200,44.939999
2015-05-05,45.16,45.650002,44.490002,44.540001,2127300,44.540001
2015-05-04,44.919998,45.50,44.82,45.279999,1357800,45.279999
2015-05-01,44.150002,45.060001,43.91,45.009998,1358700,45.009998
2015-04-30,44.09,44.57,43.650002,43.990002,1097500,43.990002
2015-04-29,44.029999,44.549999,43.959999,44.220001,731200,44.220001
2015-04-28,43.799999,44.349998,43.650002,44.220001,477700,44.220001
2015-04-27,44.02,44.23,43.75,43.860001,803000,43.860001
2015-04-24,44.560001,44.650002,43.75,43.98,753100,43.98
2015-04-23,43.790001,44.91,43.650002,44.450001,1081500,44.450001
2015-04-22,43.66,43.84,43.080002,43.720001,982300,43.720001
2015-04-21,43.41,44.009998,43.279999,43.450001,880700,43.450001
2015-04-20,43.349998,43.459999,42.990002,43.150002,1003800,43.150002
2015-04-17,43.389999,43.41,42.52,43.099998,1235800,43.099998
2015-04-16,43.549999,43.970001,43.369999,43.740002,764800,43.740002
2015-04-15,43.619999,43.900002,43.279999,43.720001,1285600,43.720001
2015-04-14,44.009998,44.209999,43.349998,43.59,2028300,43.59
2015-04-13,44.84,45.029999,44.049999,44.139999,2067600,44.139999
2015-04-10,45.790001,46.00,44.689999,44.860001,2158500,44.860001
2015-04-09,45.549999,45.970001,45.139999,45.889999,1011400,45.889999
2015-04-08,45.450001,45.689999,45.189999,45.619999,1067300,45.619999
2015-04-07,44.93,45.709999,44.599998,45.400002,1743200,45.400002
