Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,21.780001,22.24,21.780001,22.120001,3460200,22.120001
2015-07-30,21.65,21.860001,21.309999,21.74,1742200,21.74
2015-07-29,21.51,21.84,21.290001,21.67,3300800,21.67
2015-07-28,21.34,21.57,21.200001,21.559999,2701300,21.559999
2015-07-27,21.18,21.549999,21.09,21.360001,2053300,21.360001
2015-07-24,21.25,21.40,20.98,21.18,3513200,21.18
2015-07-23,21.200001,21.60,20.92,21.32,3548900,21.32
2015-07-22,21.15,21.280001,21.02,21.27,1946800,21.27
2015-07-21,21.450001,21.52,20.93,21.16,2894000,21.16
2015-07-20,21.25,21.610001,21.120001,21.49,4110000,21.49
2015-07-17,20.889999,21.50,20.799999,21.280001,11476200,21.280001
2015-07-16,18.559999,22.02,18.459999,21.48,15067000,21.48
2015-07-15,18.530001,18.59,18.370001,18.58,1306800,18.58
2015-07-14,18.48,18.58,18.43,18.52,1385500,18.52
2015-07-13,18.50,18.559999,18.379999,18.49,1123200,18.49
2015-07-10,18.34,18.59,18.299999,18.440001,984200,18.440001
2015-07-09,18.610001,18.67,18.280001,18.32,1383700,18.32
2015-07-08,18.559999,18.68,18.49,18.57,2262900,18.57
2015-07-07,18.18,18.68,18.18,18.620001,2070300,18.620001
2015-07-06,18.059999,18.18,17.950001,18.15,1583900,18.15
2015-07-02,17.889999,18.120001,17.790001,18.10,1501700,18.10
2015-07-01,17.719999,17.790001,17.610001,17.790001,1345000,17.790001
2015-06-30,17.82,17.85,17.60,17.66,1528900,17.66
2015-06-29,17.82,18.02,17.709999,17.73,1197400,17.73
2015-06-26,17.709999,17.85,17.610001,17.85,1086100,17.85
2015-06-25,17.84,17.85,17.719999,17.719999,962300,17.719999
2015-06-24,17.950001,18.040001,17.809999,17.83,1551800,17.83
2015-06-23,18.190001,18.280001,17.940001,17.969999,1511800,17.969999
2015-06-22,18.35,18.370001,18.200001,18.219999,1544800,18.219999
2015-06-19,18.299999,18.370001,18.17,18.290001,2660000,18.290001
2015-06-18,17.99,18.34,17.98,18.27,2283600,18.27
2015-06-17,17.82,18.02,17.76,17.969999,1558700,17.969999
2015-06-16,17.75,17.84,17.66,17.83,1556700,17.83
2015-06-15,17.799999,17.889999,17.700001,17.790001,1738400,17.790001
2015-06-12,17.889999,17.93,17.77,17.799999,1262400,17.799999
2015-06-11,17.959999,18.059999,17.85,17.969999,2406300,17.969999
2015-06-10,17.889999,17.959999,17.809999,17.870001,2007200,17.870001
2015-06-09,17.790001,17.879999,17.75,17.790001,1468900,17.790001
2015-06-08,17.870001,17.879999,17.75,17.799999,1277900,17.799999
2015-06-05,18.030001,18.07,17.860001,17.870001,1873200,17.870001
2015-06-04,18.24,18.370001,18.18,18.219999,1469200,18.219999
2015-06-03,18.530001,18.610001,18.190001,18.25,2189300,18.25
2015-06-02,18.75,18.780001,18.469999,18.559999,1735800,18.559999
2015-06-01,18.860001,18.969999,18.82,18.82,1746700,18.82
2015-05-29,18.889999,18.940001,18.74,18.85,2075300,18.85
2015-05-28,18.91,18.98,18.780001,18.90,1914000,18.90
2015-05-27,18.91,19.01,18.860001,18.93,1454000,18.93
2015-05-26,19.030001,19.049999,18.790001,18.889999,2168000,18.889999
2015-05-22,19.139999,19.219999,18.91,19.10,2504200,19.10
2015-05-21,18.969999,19.120001,18.85,19.08,1991900,19.08
2015-05-20,18.93,19.10,18.860001,18.950001,1627100,18.950001
2015-05-19,18.82,18.940001,18.75,18.91,1960000,18.91
2015-05-18,18.700001,19.040001,18.700001,18.92,2874800,18.92
2015-05-15,18.49,18.870001,18.43,18.77,6737700,18.77
2015-05-14,18.25,18.49,18.24,18.440001,2506200,18.440001
2015-05-13,18.42,18.50,18.139999,18.219999,1862300,18.219999
2015-05-12,18.34,18.41,18.209999,18.35,1628800,18.35
2015-05-11,18.48,18.719999,18.40,18.42,2232800,18.42
2015-05-08,18.889999,19.02,18.629999,18.690001,2277600,18.465
2015-05-07,18.629999,18.76,18.559999,18.709999,2193300,18.484758
2015-05-06,18.77,18.84,18.370001,18.559999,2231600,18.336564
2015-05-05,19.10,19.129999,18.620001,18.76,2786100,18.534157
2015-05-04,19.02,19.27,18.969999,19.15,2912000,18.919462
2015-05-01,18.959999,19.07,18.77,19.01,2131100,18.781148
2015-04-30,19.139999,19.17,18.77,18.950001,2846400,18.721871
2015-04-29,19.40,19.49,19.059999,19.200001,2738600,18.968861
2015-04-28,19.290001,19.540001,19.200001,19.540001,1639200,19.304768
2015-04-27,19.73,19.76,19.27,19.34,2147000,19.107175
2015-04-24,19.540001,19.85,19.459999,19.66,1619000,19.423322
2015-04-23,19.40,19.629999,19.35,19.549999,1759900,19.314646
2015-04-22,19.48,19.52,19.27,19.40,1420100,19.166452
2015-04-21,19.68,19.799999,19.32,19.40,1418100,19.166452
2015-04-20,19.41,19.82,19.309999,19.620001,1326700,19.383805
2015-04-17,19.32,19.530001,19.24,19.33,1559600,19.097295
2015-04-16,19.49,19.49,19.190001,19.40,1235600,19.166452
2015-04-15,19.60,19.75,19.50,19.530001,1231400,19.294888
2015-04-14,19.459999,19.620001,19.42,19.540001,816000,19.304768
2015-04-13,19.620001,19.700001,19.43,19.459999,1254000,19.225729
2015-04-10,19.450001,19.700001,19.35,19.620001,1302100,19.383805
2015-04-09,19.42,19.469999,19.209999,19.41,1373300,19.176332
2015-04-08,19.51,19.58,19.26,19.450001,1470200,19.215851
2015-04-07,19.780001,19.780001,19.48,19.48,1320100,19.245489
2015-04-06,19.66,19.940001,19.629999,19.780001,1204200,19.541879
2015-04-02,19.559999,19.709999,19.49,19.639999,1188900,19.403563
2015-04-01,19.379999,19.559999,19.139999,19.540001,1447800,19.304768
2015-03-31,19.450001,19.66,19.27,19.40,1725900,19.166452
2015-03-30,19.27,19.60,19.200001,19.52,1889000,19.285008
2015-03-27,19.219999,19.42,19.18,19.219999,1303800,18.988619
2015-03-26,19.389999,19.52,19.15,19.190001,1519300,18.958981
2015-03-25,19.639999,19.77,19.379999,19.42,1468600,19.186212
2015-03-24,19.93,20.040001,19.549999,19.59,1796300,19.354165
2015-03-23,19.91,20.15,19.91,20.030001,2060700,19.788869
2015-03-20,19.58,19.969999,19.58,19.91,3234400,19.670313
2015-03-19,19.51,19.82,19.41,19.51,1882800,19.275129
2015-03-18,19.040001,19.709999,18.959999,19.59,1803500,19.354165
2015-03-17,19.07,19.23,18.969999,19.049999,1489600,18.820665
2015-03-16,18.889999,19.24,18.889999,19.110001,2017000,18.879944
2015-03-13,19.110001,19.110001,18.549999,18.799999,2585600,18.573675
2015-03-12,18.73,19.23,18.73,19.09,2063900,18.860185
2015-03-11,18.950001,19.049999,18.620001,18.629999,2213400,18.405721
2015-03-10,18.889999,19.15,18.83,18.91,1793600,18.682351
2015-03-09,18.799999,19.09,18.780001,18.959999,1968100,18.731749
2015-03-06,19.01,19.030001,18.700001,18.799999,2047000,18.573675
2015-03-05,19.23,19.389999,19.190001,19.27,1300900,19.038018
2015-03-04,19.209999,19.290001,19.139999,19.23,1622500,18.998499
2015-03-03,19.120001,19.280001,19.02,19.280001,1652200,19.047898
2015-03-02,19.540001,19.549999,19.040001,19.129999,2438700,18.899702
2015-02-27,19.620001,19.66,19.48,19.629999,1394800,19.393683
2015-02-26,19.83,19.940001,19.559999,19.620001,1294400,19.383805
2015-02-25,20.280001,20.35,19.75,19.809999,2064800,19.571516
2015-02-24,20.10,20.389999,20.049999,20.280001,1880500,20.035859
2015-02-23,19.969999,20.139999,19.969999,20.120001,1459900,19.877786
2015-02-20,19.940001,20.00,19.700001,19.99,1951200,19.74935
2015-02-19,20.040001,20.08,19.860001,19.940001,1945700,19.699952
2015-02-18,19.50,20.07,19.450001,20.049999,2022200,19.808627
2015-02-17,19.540001,19.74,19.389999,19.52,3273600,19.285008
2015-02-13,19.85,19.870001,19.41,19.59,3168100,19.354165
2015-02-12,20.059999,20.17,19.870001,19.91,2626500,19.670313
2015-02-11,20.540001,20.540001,19.99,20.049999,2908500,19.808627
