Date,Open,High,Low,Close,Volume,Adj Close
2015-06-29,70.589996,71.419998,69.510002,69.660004,3412300,69.660004
2015-06-26,69.980003,70.690002,69.669998,70.669998,366700,70.669998
2015-06-25,70.089996,70.209999,70.00,70.18,408200,70.18
2015-06-24,69.959999,70.230003,69.730003,70.110001,453600,70.110001
2015-06-23,70.400002,70.800003,69.660004,70.059998,304500,70.059998
2015-06-22,70.690002,70.93,70.290001,70.489998,337000,70.489998
2015-06-19,71.599998,71.769997,70.160004,70.480003,951500,70.480003
2015-06-18,71.00,71.879997,70.800003,71.540001,371500,71.540001
2015-06-17,70.50,71.07,70.089996,70.75,300900,70.75
2015-06-16,69.860001,70.489998,69.379997,70.459999,484300,70.459999
2015-06-15,69.980003,70.300003,69.360001,69.610001,524700,69.610001
2015-06-12,69.720001,69.919998,69.489998,69.519997,384400,69.519997
2015-06-11,69.610001,70.529999,69.50,69.93,189700,69.93
2015-06-10,69.059998,69.349998,68.800003,69.150002,209600,69.150002
2015-06-09,68.830002,69.32,68.779999,68.879997,192000,68.879997
2015-06-08,69.050003,69.050003,68.620003,68.839996,195000,68.839996
2015-06-05,69.239998,69.300003,68.00,69.019997,404000,69.019997
2015-06-04,70.169998,70.660004,69.660004,69.720001,295200,69.720001
2015-06-03,71.260002,71.260002,70.139999,70.400002,278700,70.400002
2015-06-02,71.580002,71.620003,70.559998,71.269997,196600,71.269997
2015-06-01,71.75,72.410004,71.639999,72.040001,240800,72.040001
2015-05-29,71.830002,72.160004,71.650002,71.910004,446300,71.910004
2015-05-28,71.790001,72.379997,71.790001,71.940002,518300,71.940002
2015-05-27,72.370003,72.800003,71.949997,71.989998,507300,71.989998
2015-05-26,73.199997,73.25,72.57,72.93,242600,72.25
2015-05-22,73.169998,73.379997,72.800003,73.139999,161700,72.458041
2015-05-21,73.669998,73.779999,73.18,73.519997,214500,72.834495
2015-05-20,73.269997,74.099998,73.029999,73.650002,182600,72.963288
2015-05-19,72.309998,73.360001,72.089996,73.230003,334500,72.547206
2015-05-18,71.980003,72.779999,71.980003,72.529999,179800,71.853728
2015-05-15,71.709999,72.419998,71.559998,72.230003,215900,71.55653
2015-05-14,70.839996,71.589996,70.839996,71.480003,224900,70.813523
2015-05-13,71.529999,71.889999,70.349998,70.589996,181900,69.931814
2015-05-12,71.18,71.839996,70.949997,71.32,295400,70.655011
2015-05-11,71.940002,72.599998,71.519997,71.610001,219400,70.942308
2015-05-08,72.830002,73.330002,71.919998,72.080002,269700,71.407927
2015-05-07,71.519997,72.199997,71.459999,71.93,255300,71.259324
2015-05-06,71.559998,72.339996,70.739998,71.330002,588100,70.66492
2015-05-05,73.50,73.870003,71.82,71.900002,289000,71.229605
2015-05-04,73.589996,74.50,73.449997,74.019997,290000,73.329833
2015-05-01,73.25,73.68,72.68,73.629997,199100,72.94347
2015-04-30,73.309998,73.68,72.120003,73.099998,391400,72.418413
2015-04-29,73.660004,73.800003,72.800003,73.589996,172300,72.903842
2015-04-28,73.440002,74.239998,73.139999,74.139999,222200,73.448717
2015-04-27,74.599998,74.599998,73.419998,73.82,324100,73.131701
2015-04-24,73.830002,74.970001,73.580002,74.449997,209000,73.755824
2015-04-23,73.25,74.00,73.150002,73.830002,188700,73.14161
2015-04-22,73.110001,73.459999,72.510002,73.230003,218300,72.547206
2015-04-21,73.489998,73.989998,72.68,73.050003,223300,72.368884
2015-04-20,72.489998,73.959999,72.489998,73.440002,202600,72.755247
2015-04-17,71.860001,72.830002,71.830002,72.279999,182200,71.606059
