Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,46.360001,46.43,45.98,46.220001,1261200,46.220001
2015-07-30,46.18,46.48,45.439999,46.240002,1587200,46.240002
2015-07-29,45.41,47.77,45.139999,46.830002,3326400,46.830002
2015-07-28,44.299999,45.060001,43.91,44.779999,1373300,44.779999
2015-07-27,44.43,44.549999,43.759998,43.939999,1357700,43.939999
2015-07-24,44.549999,44.759998,44.25,44.720001,1183000,44.720001
2015-07-23,45.040001,45.099998,44.27,44.509998,1454800,44.509998
2015-07-22,45.119999,45.470001,44.799999,44.959999,1392800,44.959999
2015-07-21,44.650002,45.34,44.59,45.279999,2503700,45.279999
2015-07-20,44.07,44.740002,43.900002,44.720001,1293000,44.720001
2015-07-17,43.849998,43.990002,43.529999,43.970001,884300,43.970001
2015-07-16,43.43,43.900002,43.209999,43.849998,843200,43.849998
2015-07-15,43.150002,43.25,42.93,43.189999,629200,43.189999
2015-07-14,42.669998,43.220001,42.48,43.119999,651300,43.119999
2015-07-13,42.50,42.779999,42.389999,42.700001,612700,42.700001
2015-07-10,42.18,42.450001,41.950001,42.34,659700,42.34
2015-07-09,42.09,42.119999,41.66,41.740002,764700,41.740002
2015-07-08,41.82,41.959999,41.419998,41.52,721700,41.52
2015-07-07,42.169998,42.220001,41.580002,42.16,1001900,42.16
2015-07-06,41.529999,42.18,41.52,42.049999,621600,42.049999
2015-07-02,42.099998,42.099998,41.709999,41.950001,672000,41.950001
2015-07-01,42.080002,42.200001,41.880001,42.02,974800,42.02
2015-06-30,42.07,42.080002,41.57,41.77,1289800,41.77
2015-06-29,42.380001,42.57,41.630001,41.75,1860200,41.75
2015-06-26,42.540001,42.759998,42.400002,42.720001,1425000,42.720001
2015-06-25,42.41,42.630001,42.299999,42.50,529200,42.50
2015-06-24,42.43,42.57,42.189999,42.349998,885200,42.349998
2015-06-23,42.77,42.869999,42.439999,42.529999,702400,42.529999
2015-06-22,42.650002,43.00,42.490002,42.689999,620200,42.689999
2015-06-19,42.43,42.669998,42.23,42.330002,1068300,42.330002
2015-06-18,41.810001,42.490002,41.810001,42.439999,781900,42.439999
2015-06-17,41.82,42.00,41.52,41.75,627700,41.75
2015-06-16,41.07,41.810001,40.970001,41.75,828900,41.75
2015-06-15,41.18,41.290001,40.849998,41.16,722700,41.06
2015-06-12,41.66,41.880001,41.529999,41.599998,592000,41.498929
2015-06-11,41.869999,41.959999,41.599998,41.860001,647300,41.7583
2015-06-10,41.09,41.950001,40.91,41.740002,888400,41.638592
2015-06-09,40.93,41.09,40.709999,40.880001,849200,40.780681
2015-06-08,41.369999,41.400002,40.889999,40.959999,387900,40.860485
2015-06-05,41.07,41.470001,40.799999,41.439999,713700,41.339318
2015-06-04,41.34,41.41,40.98,41.07,562400,40.970218
2015-06-03,41.369999,41.700001,41.310001,41.59,520800,41.488955
2015-06-02,41.080002,41.360001,40.700001,41.299999,514200,41.199659
2015-06-01,41.32,41.50,40.700001,41.18,839100,41.079952
2015-05-29,41.240002,41.290001,40.799999,41.200001,1014200,41.099904
2015-05-28,41.310001,41.380001,40.830002,41.23,693600,41.129829
2015-05-27,40.830002,41.48,40.77,41.330002,754000,41.229589
2015-05-26,41.349998,41.450001,40.599998,40.779999,1371600,40.680922
2015-05-22,41.779999,41.82,41.419998,41.50,608000,41.399174
2015-05-21,41.82,41.950001,41.599998,41.68,456200,41.578737
2015-05-20,42.150002,42.16,41.610001,41.84,845100,41.738348
2015-05-19,41.869999,42.080002,41.700001,41.919998,543500,41.818152
2015-05-18,41.369999,41.970001,41.209999,41.91,683200,41.808178
2015-05-15,41.389999,41.580002,41.139999,41.400002,894100,41.299418
