Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,99.889999,100.019997,98.699997,99.330002,2327300,99.330002
2015-07-30,98.660004,99.43,98.150002,99.279999,1752800,99.279999
2015-07-29,97.849998,98.910004,97.599998,98.82,2152300,98.82
2015-07-28,97.00,97.93,96.010002,97.849998,2668900,97.849998
2015-07-27,95.230003,96.489998,94.190002,96.43,2990600,96.43
2015-07-24,96.709999,97.190002,94.75,96.050003,3921400,96.050003
2015-07-23,93.50,97.690002,93.349998,95.93,9763800,95.93
2015-07-22,88.00,89.959999,88.00,89.370003,3017600,89.370003
2015-07-21,88.669998,89.099998,87.599998,88.339996,1963100,88.339996
2015-07-20,87.900002,89.470001,87.660004,88.949997,2687400,88.949997
2015-07-17,85.519997,87.650002,85.419998,87.220001,2698600,87.220001
2015-07-16,86.949997,87.230003,84.370003,85.349998,6192200,85.349998
2015-07-15,88.800003,89.00,88.099998,88.279999,1371100,88.279999
2015-07-14,89.279999,89.300003,88.269997,88.800003,1852700,88.800003
2015-07-13,87.160004,89.459999,87.089996,89.349998,2707700,89.349998
2015-07-10,85.449997,86.400002,84.769997,86.239998,1684000,86.239998
2015-07-09,85.389999,85.800003,84.480003,84.489998,1917200,84.489998
2015-07-08,84.370003,85.129997,83.870003,84.389999,1724800,84.389999
2015-07-07,84.800003,84.949997,83.309998,84.940002,1395300,84.940002
2015-07-06,83.989998,85.00,83.709999,84.580002,887800,84.580002
2015-07-02,84.489998,84.779999,83.900002,84.589996,1048100,84.589996
2015-07-01,84.260002,84.739998,83.709999,84.260002,1602700,84.260002
2015-06-30,83.889999,84.040001,83.029999,83.440002,1857000,83.440002
2015-06-29,84.970001,85.190002,82.849998,82.93,2150400,82.93
2015-06-26,85.709999,86.300003,85.379997,85.93,2166300,85.93
2015-06-25,84.830002,85.290001,84.300003,85.150002,1440000,85.150002
2015-06-24,85.269997,85.269997,84.199997,84.339996,1451300,84.339996
2015-06-23,85.139999,85.589996,84.50,85.389999,1779300,85.389999
2015-06-22,84.00,85.080002,83.75,84.900002,2036800,84.900002
2015-06-19,83.510002,83.93,83.080002,83.18,1758500,83.18
2015-06-18,82.690002,83.93,82.690002,83.699997,1497900,83.699997
2015-06-17,83.059998,83.059998,82.050003,82.639999,1425100,82.639999
2015-06-16,81.379997,82.790001,81.209999,82.779999,1898900,82.779999
2015-06-15,80.769997,81.599998,80.400002,81.190002,969900,81.190002
