Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,143.009995,148.279999,143.009995,145.229996,1398800,145.229996
2015-07-30,141.699997,142.210007,140.369995,141.440002,690300,141.440002
2015-07-29,141.559998,142.539993,140.699997,142.309998,492000,142.309998
2015-07-28,140.740005,141.509995,138.270004,141.369995,430100,141.369995
2015-07-27,140.800003,141.070007,139.350006,140.289993,633000,140.289993
2015-07-24,141.449997,141.880005,140.309998,140.990005,500900,140.990005
2015-07-23,141.740005,142.639999,141.350006,141.789993,405200,141.789993
2015-07-22,140.199997,141.619995,139.960007,141.020004,350300,141.020004
2015-07-21,141.610001,142.059998,139.50,140.25,383400,140.25
2015-07-20,141.460007,142.330002,140.550003,142.009995,421900,142.009995
2015-07-17,141.839996,142.039993,140.130005,141.229996,520600,141.229996
2015-07-16,141.419998,141.830002,139.429993,141.25,786200,141.25
2015-07-15,143.50,143.50,141.720001,142.429993,523200,142.429993
2015-07-14,142.910004,144.149994,142.309998,143.380005,504800,143.380005
2015-07-13,143.240005,143.679993,141.830002,143.00,553400,143.00
2015-07-10,141.820007,142.690002,141.339996,141.759995,484500,141.759995
2015-07-09,141.50,141.880005,140.259995,140.889999,508900,140.889999
2015-07-08,140.399994,141.25,139.139999,139.979996,662600,139.979996
2015-07-07,142.539993,143.00,139.429993,141.649994,881100,141.649994
2015-07-06,141.940002,143.330002,141.600006,142.410004,800300,142.410004
2015-07-02,143.330002,143.850006,142.059998,142.710007,607800,142.710007
2015-07-01,143.460007,144.00,142.649994,143.089996,696700,143.089996
2015-06-30,143.059998,143.059998,141.25,142.100006,734600,142.100006
2015-06-29,141.089996,143.899994,140.649994,141.320007,756100,141.320007
2015-06-26,141.389999,143.050003,141.110001,142.690002,1263900,142.690002
2015-06-25,130.630005,144.00,130.630005,140.779999,3997500,140.779999
2015-06-24,134.360001,134.600006,130.199997,130.679993,953400,130.679993
2015-06-23,135.059998,135.789993,134.080002,134.369995,609400,134.369995
2015-06-22,135.389999,136.259995,134.929993,135.169998,728200,135.169998
2015-06-19,132.050003,135.160004,131.809998,134.720001,951100,134.720001
2015-06-18,131.600006,132.699997,130.679993,132.110001,446600,132.110001
2015-06-17,130.720001,132.00,130.110001,131.289993,401300,131.289993
2015-06-16,131.00,131.850006,129.679993,130.059998,428200,130.059998
2015-06-15,129.990005,131.559998,128.880005,131.199997,550700,131.199997
2015-06-12,131.570007,132.449997,130.130005,130.240005,462100,130.240005
2015-06-11,131.559998,132.779999,131.00,132.330002,727300,132.330002
2015-06-10,127.870003,132.130005,127.690002,131.339996,1126000,131.339996
2015-06-09,126.540001,127.650002,126.349998,127.440002,616300,127.440002
2015-06-08,127.230003,128.009995,126.400002,126.459999,340600,126.459999
2015-06-05,127.540001,128.289993,126.129997,127.43,497800,127.43
2015-06-04,128.699997,128.940002,127.019997,127.230003,523200,127.230003
2015-06-03,129.460007,129.880005,128.470001,129.110001,540400,129.110001
2015-06-02,130.300003,130.880005,129.210007,129.330002,470700,129.330002
2015-06-01,130.020004,131.240005,128.929993,131.029999,678500,131.029999
2015-05-29,129.660004,131.309998,128.929993,129.580002,650900,129.580002
2015-05-28,131.119995,132.029999,129.00,129.940002,1281300,129.940002
2015-05-27,127.589996,131.800003,127.589996,131.720001,1515700,131.620001
2015-05-26,126.870003,127.769997,126.129997,126.68,606600,126.583827
2015-05-22,126.620003,128.279999,125.980003,126.800003,451400,126.703738
2015-05-21,126.599998,127.68,126.160004,126.690002,757300,126.593821
2015-05-20,127.800003,128.259995,126.75,126.779999,1071600,126.683749
2015-05-19,125.830002,129.309998,125.480003,127.910004,790900,127.812896
2015-05-18,122.339996,126.050003,121.970001,125.760002,818000,125.664527
2015-05-15,122.269997,122.489998,121.139999,122.25,614600,122.15719
2015-05-14,120.949997,123.089996,120.239998,122.110001,637900,122.017297
2015-05-13,120.120003,120.610001,119.230003,119.849998,605000,119.75901
2015-05-12,121.25,121.68,119.150002,119.540001,497600,119.449248
2015-05-11,120.589996,122.949997,120.239998,122.129997,724300,122.037278
2015-05-08,119.57,120.790001,119.07,120.629997,680700,120.538417
2015-05-07,115.18,118.75,115.18,118.489998,957800,118.400042
2015-05-06,116.650002,116.779999,114.760002,115.370003,623500,115.282416
2015-05-05,119.540001,119.940002,115.849998,116.269997,743500,116.181726
2015-05-04,117.25,119.830002,117.029999,119.379997,786000,119.289366
2015-05-01,117.720001,118.169998,116.25,116.809998,835800,116.721317
2015-04-30,119.510002,120.379997,116.660004,116.949997,1060800,116.86121
2015-04-29,121.800003,122.07,118.639999,119.709999,668700,119.619117
2015-04-28,122.779999,123.00,117.239998,121.839996,1120000,121.747497
2015-04-27,123.129997,123.129997,120.029999,120.25,651500,120.158708
2015-04-24,122.709999,123.410004,122.150002,122.690002,384200,122.596858
2015-04-23,121.230003,122.769997,120.410004,122.599998,649000,122.506922
2015-04-22,120.959999,121.410004,119.709999,121.07,508800,120.978085
2015-04-21,121.279999,121.800003,120.230003,120.949997,511100,120.858174
2015-04-20,120.019997,121.089996,119.290001,120.93,445900,120.838192
2015-04-17,119.199997,120.169998,118.629997,119.779999,467000,119.689064
2015-04-16,120.860001,121.239998,119.32,119.980003,420700,119.888916
2015-04-15,120.169998,122.050003,120.160004,121.089996,545100,120.998067
2015-04-14,118.029999,119.660004,116.93,119.150002,447000,119.059545
2015-04-13,118.730003,119.720001,118.25,118.389999,377400,118.30012
2015-04-10,118.650002,119.150002,117.510002,118.440002,299500,118.350085
2015-04-09,118.690002,119.699997,117.300003,118.699997,556300,118.609882
2015-04-08,118.129997,119.870003,117.550003,118.980003,752600,118.889676
2015-04-07,118.440002,119.900002,117.779999,117.919998,533500,117.830475
2015-04-06,115.970001,119.269997,115.580002,118.110001,851200,118.020333
2015-04-02,112.860001,116.959999,112.400002,116.690002,1279600,116.601413
2015-04-01,115.900002,116.629997,109.830002,112.959999,3473700,112.874242
2015-03-31,119.199997,120.07,117.589996,117.709999,929700,117.620635
2015-03-30,119.089996,120.459999,119.089996,119.970001,500400,119.878922
2015-03-27,117.410004,118.379997,117.410004,118.099998,506300,118.010339
2015-03-26,117.699997,118.25,116.330002,117.339996,617600,117.250914
2015-03-25,120.139999,121.949997,117.779999,117.980003,886900,117.890435
2015-03-24,121.010002,121.379997,119.230003,120.00,471600,119.908898
2015-03-23,119.120003,121.75,119.120003,121.330002,610400,121.23789
2015-03-20,119.489998,119.93,118.290001,118.760002,653100,118.669841
2015-03-19,117.239998,119.120003,116.989998,118.730003,546100,118.639865
2015-03-18,116.18,117.68,115.629997,117.290001,783100,117.200956
2015-03-17,115.970001,116.449997,115.059998,116.169998,641600,116.081804
2015-03-16,114.900002,116.43,114.739998,116.199997,668300,116.11178
2015-03-13,114.089996,115.080002,113.279999,114.080002,389700,113.993394
2015-03-12,114.419998,115.239998,113.879997,114.480003,746300,114.393092
2015-03-11,113.290001,115.080002,112.760002,113.919998,531100,113.833512
2015-03-10,112.43,114.110001,111.730003,112.980003,598800,112.894231
2015-03-09,114.230003,114.519997,113.019997,113.529999,601400,113.443809
2015-03-06,114.459999,116.120003,113.800003,114.050003,549600,113.963418
2015-03-05,115.760002,116.860001,113.550003,114.879997,634900,114.792782
2015-03-04,112.440002,118.349998,111.730003,115.75,1413700,115.662124
2015-03-03,113.879997,114.260002,111.849998,112.730003,572200,112.644421
2015-03-02,113.349998,117.610001,112.870003,114.489998,874200,114.403079
2015-02-27,112.489998,114.879997,112.300003,113.349998,892600,113.263945
2015-02-26,109.019997,113.07,108.540001,112.489998,1113000,112.404597
2015-02-25,108.519997,109.639999,107.660004,109.190002,413300,109.00718
2015-02-24,108.389999,109.940002,108.050003,108.519997,658600,108.338296
2015-02-23,107.860001,108.839996,107.269997,108.389999,1024800,108.208516
2015-02-20,107.269997,108.330002,106.010002,107.870003,683900,107.68939
2015-02-19,106.900002,107.919998,106.599998,107.18,275100,107.000543
2015-02-18,106.989998,107.470001,105.940002,106.949997,305800,106.770925
2015-02-17,104.790001,106.790001,104.50,106.790001,401400,106.611197
2015-02-13,103.809998,104.989998,102.860001,104.93,817900,104.75431
2015-02-12,106.389999,106.599998,103.459999,104.089996,963100,103.915713
2015-02-11,105.699997,106.68,105.209999,106.129997,371000,105.952298
2015-02-10,104.879997,106.360001,104.120003,106.080002,639200,105.902386
2015-02-09,104.75,104.980003,103.290001,103.82,431100,103.646168
2015-02-06,106.25,106.739998,104.599998,104.989998,448300,104.814207
2015-02-05,105.120003,106.309998,105.120003,105.82,429400,105.64282
2015-02-04,104.360001,106.199997,103.510002,105.230003,590900,105.053811
2015-02-03,102.349998,105.660004,102.190002,104.860001,881100,104.684428
2015-02-02,102.860001,103.68,101.199997,103.139999,848200,102.967307
2015-01-30,104.589996,105.010002,102.349998,102.529999,591000,102.358327
2015-01-29,106.169998,106.269997,103.389999,105.440002,883900,105.263459
2015-01-28,107.300003,107.389999,105.540001,105.68,829700,105.503055
2015-01-27,106.980003,108.019997,106.599998,106.839996,607000,106.661108
2015-01-26,107.519997,107.93,105.290001,107.839996,1108000,107.659434
2015-01-23,110.18,110.93,106.400002,106.510002,1153700,106.331667
2015-01-22,108.660004,110.849998,107.690002,110.370003,628700,110.185204
2015-01-21,106.529999,108.959999,106.010002,108.290001,666100,108.108685
2015-01-20,108.510002,108.989998,106.150002,107.129997,938500,106.950624
2015-01-16,105.309998,108.370003,105.290001,108.220001,975500,108.038803
2015-01-15,104.309998,106.110001,103.370003,105.660004,846100,105.483091
2015-01-14,105.199997,105.199997,102.559998,104.309998,1172400,104.135346
2015-01-13,107.309998,107.879997,104.559998,106.25,1260500,106.0721
2015-01-12,113.480003,113.620003,106.120003,106.239998,1161900,106.062114
2015-01-09,113.330002,113.610001,112.269997,112.849998,747300,112.661048
2015-01-08,112.650002,113.470001,112.099998,113.139999,1006000,112.950563
2015-01-07,110.300003,112.029999,109.779999,111.989998,914500,111.802487
2015-01-06,108.529999,110.040001,108.059998,108.739998,1022200,108.557929
2015-01-05,110.419998,111.150002,107.760002,108.699997,801600,108.517995
2015-01-02,112.050003,112.540001,109.739998,110.970001,628500,110.784198
2014-12-31,111.870003,112.18,110.900002,111.260002,1030700,111.073713
2014-12-30,111.370003,112.360001,110.839996,111.510002,585800,111.323295
2014-12-29,111.959999,112.419998,111.330002,111.629997,620600,111.443089
2014-12-26,112.00,112.75,111.830002,112.32,485800,112.131936
2014-12-24,111.010002,112.589996,111.00,111.870003,266900,111.682693
2014-12-23,111.07,111.379997,110.43,110.879997,677000,110.694345
2014-12-22,109.919998,110.790001,109.529999,110.660004,468500,110.47472
2014-12-19,110.129997,110.57,109.389999,109.870003,1235500,109.686041
2014-12-18,106.769997,109.669998,106.599998,109.669998,712900,109.486372
2014-12-17,104.599998,106.07,103.720001,105.599998,1023100,105.423187
2014-12-16,105.989998,107.309998,104.239998,104.370003,836100,104.19525
2014-12-15,106.769997,108.00,104.949997,106.449997,936500,106.271762
2014-12-12,107.160004,109.379997,106.580002,106.639999,1164000,106.461446
2014-12-11,107.07,108.989998,106.730003,108.150002,426300,107.96892
2014-12-10,106.940002,107.139999,105.550003,106.410004,807100,106.231836
2014-12-09,107.110001,107.379997,105.830002,107.300003,512000,107.120345
2014-12-08,107.839996,110.199997,107.300003,108.279999,710300,108.0987
