Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,120.470001,122.720001,120.470001,121.400002,3564100,121.400002
2015-07-30,121.139999,121.919998,119.550003,120.559998,3722900,120.559998
2015-07-29,121.82,122.110001,120.620003,121.519997,3894400,121.519997
2015-07-28,118.739998,121.57,118.50,121.519997,5148500,121.519997
2015-07-27,117.879997,118.089996,116.660004,117.879997,3741300,117.879997
2015-07-24,119.120003,119.720001,117.580002,117.940002,3760000,117.940002
2015-07-23,121.629997,121.68,118.760002,119.330002,4857600,119.330002
2015-07-22,120.970001,121.239998,120.080002,120.610001,3384700,120.610001
2015-07-21,122.57,122.720001,120.339996,120.860001,4193000,120.860001
2015-07-20,124.050003,124.230003,122.330002,122.650002,3192600,122.650002
2015-07-17,124.699997,124.980003,123.699997,123.849998,3686900,123.849998
2015-07-16,125.419998,125.50,122.099998,124.93,7212700,124.93
2015-07-15,124.949997,126.050003,123.809998,125.860001,5052700,125.860001
2015-07-14,122.18,125.199997,122.00,125.00,4155100,125.00
2015-07-13,123.099998,123.75,121.809998,122.449997,3623600,122.449997
2015-07-10,120.989998,122.75,120.699997,122.150002,3997100,122.150002
2015-07-09,120.040001,120.559998,119.309998,119.339996,3293300,119.339996
2015-07-08,119.050003,119.989998,118.400002,118.779999,3980200,118.779999
2015-07-07,122.360001,122.800003,117.809998,120.699997,6451500,120.699997
2015-07-06,119.599998,123.099998,119.260002,122.160004,6511900,122.160004
2015-07-02,123.82,123.879997,121.019997,121.809998,3660200,121.809998
2015-07-01,122.949997,123.650002,122.220001,123.379997,3240000,123.379997
2015-06-30,122.419998,122.940002,121.00,122.00,4967700,122.00
2015-06-29,122.040001,123.029999,121.110001,121.190002,3557500,121.190002
2015-06-26,123.790001,124.110001,122.730003,123.25,11188900,123.25
2015-06-25,119.57,123.410004,119.50,122.330002,6116100,122.330002
2015-06-24,122.800003,123.00,119.099998,119.169998,4599600,119.169998
2015-06-23,121.370003,122.769997,121.010002,122.739998,4938300,122.739998
