Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,97.690002,98.260002,97.220001,97.589996,3879500,97.589996
2015-07-30,97.849998,98.050003,97.150002,97.699997,4451500,97.699997
2015-07-29,96.410004,98.730003,95.870003,98.529999,6092300,98.529999
2015-07-28,93.129997,97.019997,93.089996,96.620003,7510400,96.620003
2015-07-27,91.68,92.599998,91.519997,92.389999,5852200,92.389999
2015-07-24,92.550003,94.220001,91.629997,92.610001,7977700,92.610001
2015-07-23,95.650002,96.260002,91.230003,92.120003,13653100,92.120003
2015-07-22,98.860001,99.529999,97.639999,97.68,4577700,97.68
2015-07-21,98.550003,99.709999,98.459999,98.82,5016600,98.82
2015-07-20,97.580002,99.059998,97.57,98.309998,4525500,98.309998
2015-07-17,96.139999,97.809998,96.00,97.419998,5176400,97.419998
2015-07-16,97.470001,97.879997,95.589996,96.040001,4498900,96.040001
2015-07-15,97.379997,98.400002,96.769997,96.980003,4559800,96.980003
2015-07-14,97.040001,97.510002,96.370003,96.790001,5771600,96.790001
2015-07-13,98.699997,98.699997,96.910004,97.080002,4233700,97.080002
2015-07-10,97.120003,98.150002,97.059998,97.82,4236000,97.82
2015-07-09,96.800003,97.209999,96.110001,96.25,4273400,96.25
2015-07-08,96.980003,97.260002,95.629997,95.849998,5334700,95.849998
2015-07-07,96.620003,97.910004,95.410004,97.739998,5250000,97.739998
2015-07-06,96.389999,97.589996,96.029999,96.239998,4836000,96.239998
2015-07-02,96.290001,96.93,96.279999,96.660004,3281000,96.660004
2015-07-01,96.339996,96.720001,95.730003,96.160004,3770200,96.160004
2015-06-30,96.379997,96.480003,94.910004,95.370003,6337800,95.370003
2015-06-29,95.989998,96.970001,95.489998,95.529999,5671500,95.529999
2015-06-26,97.470001,98.209999,96.660004,96.769997,7491900,96.769997
2015-06-25,98.690002,98.690002,96.970001,96.970001,4567400,96.970001
2015-06-24,100.709999,100.849998,98.089996,98.25,5622300,98.25
2015-06-23,102.269997,102.739998,101.089996,101.150002,3958800,101.150002
2015-06-22,101.669998,102.010002,101.199997,101.440002,3696000,101.440002
2015-06-19,101.919998,102.360001,101.00,101.160004,6205900,101.160004
2015-06-18,101.480003,102.830002,101.279999,102.309998,4512300,102.309998
2015-06-17,100.879997,101.519997,100.099998,101.18,4052100,101.18
2015-06-16,100.400002,101.019997,100.160004,100.519997,3637500,100.519997
2015-06-15,99.839996,101.050003,99.839996,100.519997,3027900,100.519997
2015-06-12,100.339996,101.50,100.00,100.50,3967700,100.50
2015-06-11,100.110001,101.360001,99.809998,100.919998,5863400,100.919998
2015-06-10,100.00,100.190002,99.309998,99.669998,9529300,99.669998
2015-06-09,100.419998,100.940002,99.470001,99.699997,5587800,99.699997
2015-06-08,102.129997,102.199997,100.459999,100.709999,4904700,100.709999
2015-06-05,101.800003,102.849998,101.50,102.279999,5139200,102.279999
2015-06-04,101.080002,102.449997,101.080002,101.739998,6269500,101.739998
2015-06-03,101.82,102.610001,101.169998,101.989998,5650700,101.989998
2015-06-02,102.07,102.389999,101.25,101.599998,10335700,101.599998
2015-06-01,101.160004,102.209999,100.43,101.93,4575500,101.93
2015-05-29,101.080002,101.459999,99.870003,100.910004,8491600,100.910004
2015-05-28,102.480003,102.889999,100.82,101.360001,6638600,101.360001
2015-05-27,102.529999,103.18,102.199997,102.620003,4014800,102.620003
2015-05-26,103.550003,104.18,102.349998,102.900002,4894700,102.350002
2015-05-22,104.57,104.800003,104.040001,104.199997,4025300,103.643049
2015-05-21,102.989998,105.650002,102.620003,104.959999,5942600,104.398989
2015-05-20,103.68,103.989998,102.150002,103.279999,7409500,102.727969
2015-05-19,104.330002,104.360001,103.610001,104.019997,4913800,103.464011
2015-05-18,103.300003,104.370003,103.07,103.949997,4351400,103.394386
2015-05-15,102.949997,103.879997,102.32,103.830002,6397500,103.275032
2015-05-14,102.190002,102.830002,100.900002,102.089996,11174200,101.544327
2015-05-13,105.699997,105.699997,101.949997,102.389999,11588500,101.842726
2015-05-12,106.330002,106.620003,105.739998,105.769997,4432900,105.204657
2015-05-11,107.220001,108.00,106.68,106.75,3608300,106.179423
2015-05-08,108.379997,108.639999,107.279999,107.440002,3610200,106.865737
2015-05-07,106.339996,107.769997,106.169998,107.309998,3564100,106.736427
2015-05-06,106.50,107.400002,105.919998,106.93,4836100,106.358461
2015-05-05,107.709999,108.269997,105.720001,105.940002,5051100,105.373755
2015-05-04,108.400002,109.419998,107.870003,107.989998,5383300,107.412793
2015-05-01,106.660004,107.870003,106.309998,107.709999,4746300,107.134291
2015-04-30,106.25,106.589996,105.690002,106.230003,5478200,105.662205
2015-04-29,107.580002,108.059998,106.349998,106.919998,6084100,106.348512
2015-04-28,107.160004,107.989998,106.800003,107.889999,5029900,107.313329
2015-04-27,107.330002,108.220001,107.239998,107.510002,4663900,106.935363
2015-04-24,107.860001,107.959999,106.699997,107.510002,8473700,106.935363
2015-04-23,106.75,110.68,106.239998,108.120003,12014500,107.542103
2015-04-22,109.599998,111.379997,109.220001,110.730003,6226500,110.138153
2015-04-21,110.599998,110.809998,108.720001,109.50,5504300,108.914724
2015-04-20,108.709999,110.730003,108.650002,110.440002,4584900,109.849702
2015-04-17,108.07,108.650002,107.43,108.419998,5438400,107.840495
2015-04-16,107.00,108.449997,106.75,108.349998,4514200,107.770869
2015-04-15,110.190002,110.529999,107.389999,107.400002,5332000,106.82595
2015-04-14,105.220001,108.279999,104.160004,108.169998,9157500,107.591831
2015-04-13,111.050003,111.580002,108.410004,108.470001,5280700,107.89023
2015-04-10,111.50,112.440002,110.730003,111.419998,6516200,110.82446
2015-04-09,107.849998,109.93,107.699997,109.790001,4417400,109.203175
2015-04-08,107.699997,108.809998,107.660004,108.129997,4433700,107.552044
2015-04-07,106.93,108.449997,106.389999,107.839996,6482100,107.263593
2015-04-06,106.339996,107.540001,106.25,106.379997,5246300,105.811398
2015-04-02,107.449997,108.300003,106.839996,107.129997,4574600,106.557389
2015-04-01,107.760002,108.150002,106.379997,107.339996,5277000,106.766265
2015-03-31,109.660004,109.660004,107.800003,108.309998,5534800,107.731082
2015-03-30,109.00,110.389999,108.769997,110.089996,5191000,109.501567
2015-03-27,107.739998,108.989998,106.779999,108.440002,6203000,107.860392
2015-03-26,109.059998,109.279999,106.75,108.169998,9371000,107.591831
2015-03-25,112.699997,113.059998,110.699997,110.82,5448200,110.227668
2015-03-24,112.75,113.730003,111.309998,112.510002,5632100,111.908638
2015-03-23,114.849998,116.00,112.620003,112.779999,6682600,112.177191
2015-03-20,117.980003,118.660004,117.099998,117.449997,5060200,116.822228
2015-03-19,117.480003,118.330002,116.790001,117.550003,3466700,116.9217
2015-03-18,116.080002,118.199997,115.040001,117.779999,3614500,117.150466
2015-03-17,115.949997,116.830002,115.639999,116.419998,2602200,115.797735
2015-03-16,115.50,116.830002,115.360001,116.720001,5110900,116.096134
2015-03-13,115.230003,115.800003,113.769997,114.519997,4150500,113.907889
2015-03-12,115.080002,115.540001,114.309998,115.129997,4850900,114.514629
2015-03-11,114.93,115.769997,114.279999,114.290001,4271200,113.679122
2015-03-10,115.919998,116.839996,114.75,114.75,3990200,114.136663
2015-03-09,116.379997,117.870003,116.199997,117.169998,2605100,116.543726
2015-03-06,117.370003,118.25,116.089996,116.449997,3326100,115.827573
2015-03-05,118.32,118.540001,117.339996,118.330002,3345700,117.69753
2015-03-04,117.650002,118.279999,116.599998,118.209999,3923800,117.578168
2015-03-03,120.089996,120.379997,117.879997,118.459999,3826000,117.826832
2015-03-02,120.260002,121.00,120.050003,120.75,3066300,120.104593
2015-02-27,121.150002,121.400002,120.190002,120.260002,2775600,119.617214
2015-02-26,122.230003,122.660004,120.690002,120.760002,3108100,120.114542
2015-02-25,122.50,123.129997,121.860001,122.419998,2495300,121.765665
2015-02-24,122.93,123.360001,122.129997,122.690002,3720300,121.487163
2015-02-23,123.790001,123.900002,122.599998,123.75,2743400,122.536768
2015-02-20,121.699997,123.699997,120.440002,123.660004,3731800,122.447654
2015-02-19,122.849998,123.82,121.839996,121.959999,2600700,120.764317
2015-02-18,122.540001,123.620003,122.019997,123.349998,2099900,122.140689
2015-02-17,121.959999,122.559998,121.57,122.540001,3524100,121.338632
2015-02-13,123.739998,124.519997,122.25,122.599998,3369900,121.398041
2015-02-12,122.720001,123.940002,122.389999,123.830002,4134300,122.615986
2015-02-11,121.00,122.699997,120.589996,122.139999,3384600,120.942552
2015-02-10,119.779999,121.099998,118.760002,120.870003,4028900,119.685006
2015-02-09,121.529999,122.010002,118.949997,119.449997,4231200,118.278922
2015-02-06,123.00,123.32,121.330002,121.809998,2938600,120.615786
2015-02-05,121.389999,123.110001,121.029999,122.849998,3365100,121.64559
2015-02-04,120.660004,121.360001,119.919998,120.440002,3088100,119.259222
2015-02-03,120.18,122.00,119.800003,121.790001,3602300,120.595985
2015-02-02,118.129997,119.059998,116.699997,119.010002,3259600,117.843241
2015-01-30,119.199997,119.919998,117.129997,117.209999,4419100,116.060885
2015-01-29,119.389999,120.339996,117.580002,120.089996,3479500,118.912647
2015-01-28,121.68,122.089996,119.089996,119.150002,4577700,117.981868
2015-01-27,119.160004,121.620003,118.760002,120.860001,3841800,119.675102
2015-01-26,120.510002,121.870003,119.650002,121.330002,3550800,120.140496
2015-01-23,121.00,122.190002,119.339996,120.089996,5124100,118.912647
2015-01-22,117.25,120.900002,117.019997,119.830002,6430700,118.655202
2015-01-21,114.550003,116.07,113.779999,114.400002,4783600,113.278436
2015-01-20,112.529999,114.419998,112.150002,113.949997,5446200,112.832844
2015-01-16,110.910004,112.040001,109.870003,111.900002,8549600,110.802946
2015-01-15,111.360001,112.870003,110.370003,110.800003,5654000,109.713732
2015-01-14,110.510002,111.980003,109.540001,111.360001,6226600,110.268239
2015-01-13,115.00,116.150002,110.730003,111.830002,5470700,110.733633
2015-01-12,114.330002,114.449997,112.790001,113.970001,3267900,112.852652
2015-01-09,117.080002,117.470001,114.849998,114.980003,2993700,113.852752
2015-01-08,114.00,117.089996,113.510002,117.080002,4844900,115.932162
2015-01-07,113.160004,113.800003,111.849998,112.849998,4008400,111.743629
2015-01-06,114.279999,114.290001,111.660004,112.230003,6315000,111.129713
2015-01-05,118.309998,118.309998,114.470001,114.599998,4602500,113.476473
2015-01-02,119.93,120.800003,117.660004,118.610001,3082700,117.447161
2014-12-31,120.720001,120.769997,119.019997,119.129997,2345800,117.96206
2014-12-30,120.209999,120.82,119.68,120.25,2274400,119.071082
2014-12-29,119.540001,120.949997,119.089996,120.699997,1998900,119.516667
2014-12-26,120.879997,120.989998,120.07,120.389999,1666000,119.209709
2014-12-24,120.610001,121.099998,120.260002,120.300003,1001500,119.120595
2014-12-23,120.910004,121.400002,120.300003,120.68,2202500,119.496867
2014-12-22,119.059998,120.739998,118.940002,120.410004,3186300,119.229517
2014-12-19,118.599998,119.980003,118.110001,118.470001,6126600,117.308534
2014-12-18,116.949997,118.889999,116.449997,118.870003,5279700,117.704614
2014-12-17,112.440002,115.419998,111.279999,114.919998,5532600,113.793335
2014-12-16,111.769997,114.980003,111.57,112.199997,4827100,111.10
2014-12-15,113.150002,114.519997,111.669998,112.339996,5394000,111.238627
2014-12-12,113.629997,115.75,112.50,112.550003,4813700,111.446575
2014-12-11,113.980003,115.809998,113.480003,114.349998,3931300,113.228924
2014-12-10,115.910004,116.339996,112.980003,113.690002,4592400,112.575398
2014-12-09,112.910004,116.120003,111.889999,116.059998,5587900,114.922158
2014-12-08,117.870003,118.080002,114.269997,114.940002,5616900,113.813143
2014-12-05,120.00,120.300003,118.150002,118.610001,3211000,117.447161
2014-12-04,120.419998,121.239998,118.959999,119.760002,3399700,118.585888
2014-12-03,119.349998,121.389999,119.290001,120.949997,4917500,119.764216
2014-12-02,114.980003,119.050003,114.309998,118.970001,6399600,117.803632
2014-12-01,116.440002,116.629997,113.190002,114.629997,7102900,113.506177
2014-11-28,121.839996,122.290001,116.550003,116.769997,5684700,115.625196
2014-11-26,122.690002,123.440002,122.410004,123.309998,2377600,121.605987
2014-11-25,122.769997,123.610001,122.410004,122.510002,4050500,120.817046
2014-11-24,122.489998,123.370003,122.400002,122.910004,2675700,121.21152
2014-11-21,122.169998,122.790001,121.220001,121.849998,5547200,120.166163
2014-11-20,119.82,120.980003,119.68,120.910004,2660500,119.239158
2014-11-19,120.559998,120.610001,119.650002,120.50,2532800,118.83482
2014-11-18,120.620003,121.160004,120.120003,120.620003,2390700,118.953165
2014-11-17,120.230003,120.949997,119.809998,120.32,2585000,118.657307
2014-11-14,120.239998,120.870003,120.00,120.709999,2598700,119.041917
2014-11-13,120.410004,121.599998,120.050003,120.25,2882000,118.588275
2014-11-12,121.290001,121.32,120.050003,120.709999,3361100,119.041917
2014-11-11,121.029999,121.82,120.510002,121.239998,2866800,119.564592
2014-11-10,119.300003,121.290001,119.150002,120.900002,4086200,119.229294
2014-11-07,118.940002,119.660004,118.209999,118.75,3210200,117.109003
2014-11-06,116.849998,119.150002,116.589996,118.940002,4187200,117.29638
2014-11-05,116.019997,116.419998,115.18,116.410004,4000900,114.801343
2014-11-04,115.230003,115.93,114.800003,115.279999,4888800,113.686954
2014-11-03,116.57,116.57,114.910004,115.260002,3934900,113.667233
2014-10-31,116.300003,117.099998,115.610001,116.449997,3931600,114.840784
2014-10-30,114.93,115.93,114.080002,115.00,3993300,113.410824
2014-10-29,116.309998,117.07,114.309998,114.970001,4151300,113.38124
2014-10-28,115.089996,116.470001,115.050003,116.18,3898000,114.574518
2014-10-27,114.389999,114.940002,113.370003,114.790001,3658900,113.203727
2014-10-24,112.809998,114.620003,111.889999,114.580002,4512300,112.99663
2014-10-23,111.839996,112.650002,110.169998,112.230003,6441900,110.679106
2014-10-22,108.529999,109.120003,106.709999,106.860001,5491800,105.383311
2014-10-21,107.290001,108.919998,107.139999,108.860001,3934800,107.355673
2014-10-20,105.599998,106.489998,105.269997,106.160004,3816900,104.692987
2014-10-17,105.949997,106.980003,105.639999,106.400002,7112200,104.929668
2014-10-16,98.220001,105.269997,98.00,104.029999,9242800,102.592417
2014-10-15,98.75,100.230003,96.169998,99.699997,6407200,98.322251
2014-10-14,98.550003,101.300003,98.18,100.160004,6939900,98.775901
2014-10-13,102.989998,104.239998,97.839996,98.080002,8013800,96.724642
2014-10-10,105.50,105.580002,101.199997,101.339996,7640700,99.939587
2014-10-09,108.080002,108.32,105.239998,105.339996,3731400,103.884311
2014-10-08,106.669998,108.120003,104.809998,108.019997,4430900,106.527277
2014-10-07,108.50,108.639999,106.300003,106.370003,3151100,104.900084
2014-10-06,110.410004,110.839996,108.720001,109.290001,2650300,107.779731
2014-10-03,107.010002,109.75,106.82,109.510002,4014200,107.996692
2014-10-02,105.900002,106.510002,104.879997,106.099998,4719600,104.633811
2014-10-01,107.480003,107.650002,105.410004,105.800003,4518000,104.337961
2014-09-30,108.519997,109.769997,108.279999,108.419998,3339300,106.921751
2014-09-29,107.949997,108.709999,107.169998,108.529999,1928600,107.030231
2014-09-26,107.019997,108.889999,107.019997,108.580002,2036000,107.079544
2014-09-25,108.599998,108.629997,106.970001,107.190002,2716700,105.708752
