Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,86.089996,87.129997,85.699997,86.07,1113300,86.07
2015-07-30,87.889999,89.080002,84.080002,86.00,2440500,86.00
2015-07-29,89.589996,90.779999,89.440002,90.389999,1442600,90.389999
2015-07-28,87.580002,89.550003,87.580002,89.330002,1053600,89.330002
2015-07-27,86.940002,87.370003,86.669998,87.309998,719500,87.309998
2015-07-24,87.470001,88.07,86.989998,87.139999,415600,87.139999
2015-07-23,87.949997,88.18,87.379997,87.580002,354100,87.580002
2015-07-22,87.449997,88.120003,87.160004,87.790001,493900,87.790001
2015-07-21,87.760002,88.459999,87.099998,87.260002,708300,87.260002
2015-07-20,87.82,88.019997,87.32,87.720001,340900,87.720001
2015-07-17,87.709999,87.779999,87.139999,87.699997,421900,87.699997
2015-07-16,87.690002,88.489998,87.349998,87.860001,464600,87.860001
2015-07-15,87.790001,87.980003,87.209999,87.360001,381500,87.360001
2015-07-14,87.879997,88.199997,87.620003,87.870003,527700,87.870003
2015-07-13,87.18,87.860001,86.790001,87.790001,480000,87.790001
2015-07-10,85.93,87.169998,85.93,86.800003,567200,86.800003
2015-07-09,85.730003,86.120003,84.970001,84.980003,678500,84.980003
2015-07-08,85.959999,86.889999,84.779999,84.800003,688600,84.800003
2015-07-07,86.099998,86.540001,84.989998,86.449997,641400,86.449997
2015-07-06,85.169998,86.50,85.169998,86.089996,1373600,86.089996
2015-07-02,84.510002,86.080002,84.510002,85.910004,1381500,85.910004
2015-07-01,84.879997,84.93,83.839996,84.379997,743000,84.379997
2015-06-30,84.599998,84.889999,83.940002,84.330002,593300,84.330002
2015-06-29,84.620003,85.00,83.559998,83.599998,860800,83.599998
2015-06-26,85.540001,85.800003,84.889999,85.290001,810900,85.290001
2015-06-25,86.019997,86.57,85.199997,85.32,715300,85.32
2015-06-24,87.019997,87.440002,85.989998,86.019997,573600,86.019997
2015-06-23,88.18,88.199997,87.32,87.349998,551100,87.349998
2015-06-22,88.589996,88.589996,87.879997,88.040001,570100,88.040001
2015-06-19,87.650002,88.260002,87.559998,88.00,1625600,88.00
2015-06-18,86.730003,88.080002,86.279999,87.709999,809900,87.709999
2015-06-17,86.339996,86.489998,85.400002,85.970001,639800,85.970001
2015-06-16,85.370003,86.300003,85.07,86.080002,941300,86.080002
2015-06-15,85.519997,85.610001,84.860001,85.309998,633100,85.309998
2015-06-12,86.410004,86.610001,85.709999,85.779999,641100,85.779999
2015-06-11,86.480003,86.889999,86.150002,86.629997,604600,86.629997
2015-06-10,86.00,86.400002,85.57,86.260002,1393100,86.260002
2015-06-09,86.010002,86.349998,85.779999,85.940002,453200,85.940002
2015-06-08,86.57,87.040001,86.120003,86.150002,857000,86.150002
2015-06-05,86.400002,86.919998,85.82,86.82,662000,86.82
2015-06-04,87.290001,87.790001,86.589996,86.690002,903800,86.690002
2015-06-03,86.760002,87.709999,86.650002,87.529999,704700,87.529999
2015-06-02,85.860001,86.940002,85.550003,86.459999,651200,86.459999
2015-06-01,86.529999,86.760002,85.599998,85.910004,1137000,85.910004
2015-05-29,87.660004,87.959999,86.400002,86.599998,1647200,86.599998
2015-05-28,87.040001,87.620003,86.589996,87.400002,757400,87.400002
2015-05-27,86.720001,87.349998,86.120003,87.110001,806900,87.110001
2015-05-26,87.209999,87.57,85.970001,86.370003,646000,86.370003
2015-05-22,87.300003,87.730003,86.970001,87.57,708200,87.57
2015-05-21,87.410004,87.629997,87.07,87.510002,828900,87.510002
2015-05-20,87.349998,88.139999,87.230003,87.550003,748900,87.550003
2015-05-19,87.879997,87.989998,87.260002,87.440002,960600,87.440002
2015-05-18,87.389999,87.889999,86.870003,87.660004,893500,87.660004
2015-05-15,87.779999,88.239998,86.879997,87.25,1087400,87.25
2015-05-14,86.830002,87.690002,86.769997,87.589996,1006900,87.589996
2015-05-13,86.860001,86.860001,85.709999,86.059998,1057000,86.059998
2015-05-12,87.160004,87.599998,86.690002,86.900002,506500,86.900002
2015-05-11,87.709999,88.010002,87.440002,87.639999,458900,87.639999
2015-05-08,88.029999,88.629997,87.709999,87.940002,675800,87.940002
2015-05-07,87.089996,87.730003,86.839996,87.190002,848400,87.190002
2015-05-06,86.790001,87.099998,86.150002,86.699997,619200,86.699997
2015-05-05,88.349998,88.419998,86.610001,86.639999,734800,86.639999
2015-05-04,88.959999,89.25,88.059998,88.389999,936600,88.389999
2015-05-01,88.889999,89.599998,88.160004,88.589996,1162200,88.589996
2015-04-30,89.900002,89.980003,87.160004,88.849998,2723500,88.849998
2015-04-29,94.43,95.199997,94.160004,94.82,1009200,94.82
2015-04-28,94.760002,95.080002,93.339996,94.800003,787100,94.800003
2015-04-27,95.589996,95.959999,94.620003,94.889999,844600,94.889999
2015-04-24,96.110001,96.169998,95.389999,95.50,550300,95.50
2015-04-23,95.830002,96.669998,95.660004,96.139999,451200,96.139999
2015-04-22,95.699997,96.150002,95.190002,95.970001,435800,95.970001
2015-04-21,95.199997,95.669998,94.870003,95.449997,823700,95.449997
2015-04-20,94.029999,95.230003,94.029999,94.900002,434500,94.900002
2015-04-17,94.379997,94.540001,93.160004,93.779999,540100,93.779999
2015-04-16,94.57,95.269997,94.120003,95.089996,468200,95.089996
2015-04-15,94.139999,94.620003,93.779999,94.580002,741200,94.580002
2015-04-14,94.349998,94.550003,93.370003,93.989998,360300,93.989998
2015-04-13,94.400002,94.82,94.18,94.309998,410800,94.309998
2015-04-10,94.529999,94.800003,94.150002,94.389999,575600,94.389999
2015-04-09,93.919998,94.440002,93.199997,94.169998,564700,94.169998
2015-04-08,94.110001,94.800003,93.589996,94.129997,483000,94.129997
2015-04-07,94.800003,94.800003,94.010002,94.050003,591400,94.050003
2015-04-06,93.849998,94.849998,93.529999,94.550003,987900,94.550003
2015-04-02,93.230003,93.980003,92.559998,93.790001,400600,93.790001
2015-04-01,94.220001,94.440002,92.349998,93.059998,733700,93.059998
2015-03-31,94.669998,95.400002,94.059998,94.089996,603600,94.089996
2015-03-30,94.339996,94.889999,94.150002,94.790001,555900,94.790001
2015-03-27,93.089996,94.089996,92.690002,93.739998,442200,93.739998
2015-03-26,92.559998,93.330002,92.080002,92.870003,512600,92.870003
2015-03-25,93.730003,94.800003,92.720001,92.720001,430400,92.720001
2015-03-24,94.349998,95.00,93.68,93.720001,579900,93.720001
2015-03-23,94.610001,94.989998,94.300003,94.599998,519200,94.599998
2015-03-20,95.410004,95.529999,93.970001,94.510002,613500,94.510002
2015-03-19,94.18,94.800003,93.699997,94.790001,483800,94.790001
