Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,134.889999,136.00,133.020004,135.00,1545500,135.00
2015-07-30,126.089996,135.899994,121.150002,135.460007,3095100,135.460007
2015-07-29,128.279999,128.979996,125.269997,125.620003,1777200,125.620003
2015-07-28,124.470001,128.559998,122.410004,128.300003,1937700,128.300003
2015-07-27,124.239998,125.349998,121.309998,123.230003,2039900,123.230003
2015-07-24,130.020004,130.699997,124.620003,125.50,1353200,125.50
2015-07-23,131.710007,131.949997,129.929993,130.850006,869900,130.850006
2015-07-22,130.509995,132.119995,129.940002,131.020004,971100,131.020004
2015-07-21,133.660004,133.889999,129.910004,130.970001,1039500,130.970001
2015-07-20,134.679993,135.149994,132.949997,133.470001,1040800,133.470001
2015-07-17,134.289993,134.479996,132.279999,134.169998,1271000,134.169998
2015-07-16,133.490005,134.320007,133.119995,133.899994,2002900,133.899994
2015-07-15,130.539993,136.360001,130.25,133.529999,3080300,133.529999
2015-07-14,124.989998,129.830002,123.239998,129.440002,1757600,129.440002
2015-07-13,123.809998,124.559998,123.00,124.239998,1066000,124.239998
2015-07-10,122.75,123.389999,121.199997,122.949997,1418200,122.949997
2015-07-09,123.010002,123.900002,120.879997,120.889999,1656300,120.889999
2015-07-08,126.639999,126.860001,120.940002,121.540001,1991800,121.540001
2015-07-07,129.00,129.460007,125.589996,127.480003,1566900,127.480003
2015-07-06,128.949997,130.619995,126.900002,128.830002,2263100,128.830002
2015-07-02,127.019997,132.00,126.00,131.259995,3657400,131.259995
2015-07-01,124.110001,126.650002,124.099998,126.190002,1450800,126.190002
2015-06-30,124.330002,125.160004,122.389999,123.480003,1489600,123.480003
2015-06-29,125.800003,126.470001,121.839996,122.029999,1286700,122.029999
2015-06-26,130.50,131.00,126.860001,126.870003,4458700,126.870003
2015-06-25,130.270004,130.839996,127.889999,128.350006,1166300,128.350006
2015-06-24,131.679993,132.979996,129.050003,129.589996,1145800,129.589996
2015-06-23,129.570007,131.770004,129.389999,131.619995,1333100,131.619995
2015-06-22,127.989998,129.240005,126.57,129.029999,886500,129.029999
2015-06-19,127.459999,129.259995,126.540001,128.039993,1915700,128.039993
2015-06-18,124.620003,127.75,123.940002,127.629997,1410700,127.629997
2015-06-17,123.57,125.00,122.860001,124.050003,730000,124.050003
2015-06-16,123.519997,124.970001,123.00,123.339996,603800,123.339996
2015-06-15,123.650002,124.540001,121.389999,123.50,998300,123.50
2015-06-12,125.870003,126.290001,122.690002,124.360001,962900,124.360001
2015-06-11,125.860001,126.879997,125.150002,126.349998,1213100,126.349998
2015-06-10,124.489998,126.160004,122.389999,125.18,1190400,125.18
2015-06-09,125.760002,125.839996,122.889999,124.080002,773800,124.080002
2015-06-08,127.00,127.269997,124.940002,125.519997,892600,125.519997
2015-06-05,126.099998,127.980003,125.029999,127.349998,707500,127.349998
2015-06-04,125.839996,127.919998,125.459999,126.940002,1219000,126.940002
2015-06-03,124.379997,126.980003,124.129997,126.919998,935700,126.919998
2015-06-02,126.279999,127.50,123.300003,124.800003,1341800,124.800003
2015-06-01,128.479996,128.979996,126.110001,126.800003,946900,126.800003
2015-05-29,126.919998,128.869995,125.669998,128.289993,1210300,128.289993
2015-05-28,126.75,128.240005,126.360001,127.400002,796300,127.400002
2015-05-27,123.230003,127.900002,121.809998,127.800003,1383300,127.800003
2015-05-26,124.800003,125.699997,122.339996,122.629997,1139400,122.629997
2015-05-22,124.910004,125.959999,124.330002,125.080002,1174000,125.080002
2015-05-21,126.419998,127.099998,124.32,125.050003,1202600,125.050003
2015-05-20,127.160004,127.989998,124.339996,126.75,1703800,126.75
2015-05-19,127.290001,129.149994,126.410004,128.309998,1075500,128.309998
2015-05-18,126.209999,127.470001,125.160004,127.309998,1641100,127.309998
2015-05-15,124.169998,127.110001,123.540001,126.209999,2211700,126.209999
2015-05-14,126.00,126.480003,121.019997,123.00,2636900,123.00
2015-05-13,131.25,131.360001,125.00,125.519997,3875600,125.519997
2015-05-12,124.080002,124.080002,124.080002,124.080002,000,124.080002
2015-05-11,129.00,129.529999,123.529999,124.080002,2290400,124.080002
2015-05-08,124.50,131.419998,124.50,127.410004,2280400,127.410004
2015-05-07,122.889999,125.779999,121.169998,125.050003,1305800,125.050003
2015-05-06,122.610001,125.160004,121.379997,122.93,1257900,122.93
2015-05-05,125.419998,126.220001,121.150002,122.150002,1426000,122.150002
2015-05-04,126.07,129.220001,125.459999,126.300003,1194900,126.300003
2015-05-01,123.919998,125.970001,123.82,125.599998,1170900,125.599998
2015-04-30,124.169998,128.690002,121.300003,123.279999,1849700,123.279999
2015-04-29,124.580002,127.739998,123.110001,123.760002,1705800,123.760002
2015-04-28,128.270004,130.00,123.889999,125.470001,1696300,125.470001
2015-04-27,134.089996,135.070007,126.690002,127.879997,2258800,127.879997
2015-04-24,133.610001,135.940002,132.940002,133.199997,1246300,133.199997
2015-04-23,132.440002,137.50,131.789993,135.820007,1671500,135.820007
2015-04-22,132.279999,133.720001,130.360001,132.850006,1118900,132.850006
2015-04-21,128.800003,135.309998,127.209999,132.199997,3074000,132.199997
2015-04-20,126.139999,127.010002,124.470001,125.550003,1351400,125.550003
2015-04-17,127.519997,128.899994,124.459999,125.07,1579100,125.07
2015-04-16,129.029999,131.630005,127.610001,128.940002,1142300,128.940002
2015-04-15,128.100006,130.259995,126.75,129.199997,1203400,129.199997
2015-04-14,127.75,128.990005,126.129997,128.729996,948400,128.729996
2015-04-13,128.470001,129.690002,127.699997,127.809998,1004800,127.809998
2015-04-10,126.760002,128.779999,125.839996,128.470001,1118700,128.470001
2015-04-09,123.669998,125.75,123.089996,125.639999,1091700,125.639999
2015-04-08,120.830002,124.559998,120.330002,123.790001,1356300,123.790001
2015-04-07,118.120003,122.059998,118.120003,120.470001,1113200,120.470001
2015-04-06,116.099998,120.00,115.110001,118.25,1252200,118.25
2015-04-02,115.849998,117.739998,114.32,117.230003,1513900,117.230003
2015-04-01,117.589996,117.589996,113.68,116.43,1910600,116.43
2015-03-31,119.980003,121.019997,117.809998,117.970001,1524100,117.970001
2015-03-30,121.230003,122.139999,119.519997,121.25,1263800,121.25
2015-03-27,117.730003,120.779999,117.449997,120.339996,1617700,120.339996
2015-03-26,118.940002,120.019997,116.610001,117.599998,1902900,117.599998
2015-03-25,124.50,126.290001,118.160004,118.639999,2429900,118.639999
2015-03-24,126.239998,128.800003,124.129997,124.339996,1780300,124.339996
2015-03-23,123.620003,128.539993,122.00,125.790001,5118500,125.790001
2015-03-20,135.00,136.330002,130.630005,131.00,5731400,131.00
2015-03-19,131.160004,134.410004,130.070007,134.25,2143300,134.25
