Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,58.23,58.25,57.790001,57.869999,12123800,57.869999
2015-07-30,57.849998,58.189999,57.720001,58.150002,9770700,58.150002
2015-07-29,57.599998,58.130001,57.419998,57.959999,13580900,57.959999
2015-07-28,57.73,57.84,57.16,57.400002,16446600,57.400002
2015-07-27,57.48,57.84,57.34,57.59,15474100,57.59
2015-07-24,58.18,58.34,57.700001,57.779999,13142500,57.779999
2015-07-23,58.73,58.77,58.07,58.209999,13038500,58.209999
2015-07-22,58.07,58.59,57.990002,58.52,14859600,58.52
2015-07-21,58.02,58.369999,57.75,57.950001,12335800,57.950001
2015-07-20,57.990002,58.290001,57.880001,58.049999,9672900,58.049999
2015-07-17,57.970001,58.049999,57.490002,57.939999,12941300,57.939999
2015-07-16,58.240002,58.349998,57.98,58.169998,13172800,58.169998
2015-07-15,57.41,58.16,57.259998,57.779999,17107500,57.779999
2015-07-14,56.459999,57.369999,56.389999,57.25,20045200,57.25
2015-07-13,56.560001,56.759998,56.419998,56.740002,14958000,56.740002
2015-07-10,56.330002,56.459999,55.860001,56.080002,13142200,56.080002
2015-07-09,56.060001,56.150002,55.439999,55.50,13404100,55.50
2015-07-08,55.84,56.169998,55.209999,55.25,12674000,55.25
2015-07-07,56.32,56.470001,55.080002,56.25,15772000,56.25
2015-07-06,56.099998,56.529999,56.009998,56.439999,11619500,56.439999
2015-07-02,56.84,57.139999,56.52,56.740002,9974900,56.740002
2015-07-01,57.09,57.200001,56.610001,56.91,12044900,56.91
2015-06-30,56.540001,56.880001,55.990002,56.240002,16798700,56.240002
2015-06-29,56.799999,57.189999,56.009998,56.060001,19053900,56.060001
2015-06-26,57.34,57.580002,57.290001,57.439999,15915300,57.439999
2015-06-25,57.75,57.790001,57.130001,57.169998,13944100,57.169998
2015-06-24,57.669998,58.150002,57.540001,57.540001,13120200,57.540001
2015-06-23,58.00,58.259998,57.759998,57.889999,13092700,57.889999
2015-06-22,57.580002,58.040001,57.529999,57.91,14965000,57.91
2015-06-19,57.419998,57.57,57.049999,57.049999,32859800,57.049999
2015-06-18,57.290001,57.84,57.189999,57.700001,18213000,57.700001
2015-06-17,57.310001,57.549999,57.099998,57.169998,17493300,57.169998
2015-06-16,56.849998,57.240002,56.73,57.220001,10441600,57.220001
2015-06-15,56.650002,57.07,56.48,56.98,12708400,56.98
2015-06-12,57.130001,57.290001,56.740002,57.09,13350700,57.09
2015-06-11,57.259998,57.57,57.07,57.259998,13797700,57.259998
2015-06-10,56.98,57.57,56.91,57.209999,18546100,57.209999
2015-06-09,56.23,56.93,56.00,56.700001,14465600,56.700001
2015-06-08,56.939999,56.939999,56.119999,56.119999,13930300,56.119999
2015-06-05,57.040001,57.220001,56.400002,56.610001,16718300,56.610001
2015-06-04,56.529999,56.889999,55.93,56.139999,17401100,56.139999
2015-06-03,56.349998,57.200001,56.349998,56.91,16122700,56.91
2015-06-02,56.009998,56.450001,55.740002,56.18,13118100,56.18
2015-06-01,56.240002,56.490002,55.799999,56.040001,15698400,56.040001
2015-05-29,56.25,56.259998,55.68,55.959999,17152700,55.959999
2015-05-28,56.110001,56.299999,55.889999,56.209999,8714900,56.209999
2015-05-27,55.919998,56.310001,55.709999,56.07,12462700,56.07
2015-05-26,55.970001,56.00,55.459999,55.66,15808500,55.66
2015-05-22,56.040001,56.23,55.990002,56.00,8556400,56.00
2015-05-21,55.91,56.18,55.830002,56.009998,13431500,56.009998
2015-05-20,56.32,56.369999,55.93,56.080002,13272000,56.080002
2015-05-19,55.900002,56.700001,55.889999,56.400002,16872700,56.400002
2015-05-18,55.580002,55.98,55.549999,55.75,10502000,55.75
2015-05-15,56.040001,56.040001,55.299999,55.52,13291700,55.52
2015-05-14,55.950001,56.130001,55.720001,56.040001,10930400,56.040001
2015-05-13,55.470001,55.830002,55.369999,55.599998,11361500,55.599998
2015-05-12,55.310001,55.639999,55.00,55.470001,11569800,55.470001
2015-05-11,55.919998,55.959999,55.439999,55.509998,12922100,55.509998
2015-05-08,55.169998,56.049999,55.09,56.049999,17477500,56.049999
2015-05-07,54.959999,55.189999,54.610001,54.810001,14723100,54.810001
