Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,4.75,4.88,4.71,4.85,2344500,4.85
2015-07-30,4.67,4.78,4.64,4.77,2459800,4.77
2015-07-29,4.76,4.77,4.61,4.75,2930000,4.75
2015-07-28,4.67,4.74,4.53,4.71,3592800,4.71
2015-07-27,4.54,4.71,4.42,4.70,5323000,4.70
2015-07-24,4.91,4.93,4.56,4.57,3890300,4.57
2015-07-23,5.03,5.08,4.82,4.86,3805100,4.86
2015-07-22,5.20,5.25,4.96,5.04,5342800,5.04
2015-07-21,5.40,5.41,5.20,5.23,2781900,5.23
2015-07-20,5.26,5.47,5.25,5.32,2972500,5.32
2015-07-17,5.38,5.45,5.24,5.30,4322200,5.30
2015-07-16,5.52,5.67,5.36,5.37,3427400,5.37
2015-07-15,5.42,5.62,5.39,5.56,2894900,5.56
2015-07-14,5.48,5.56,5.30,5.41,4862700,5.41
2015-07-13,5.50,5.56,5.15,5.47,7122400,5.47
2015-07-10,5.56,5.71,5.51,5.68,2741700,5.68
2015-07-09,5.75,5.93,5.46,5.50,5983900,5.50
2015-07-08,5.85,5.90,5.62,5.64,4322100,5.64
2015-07-07,6.14,6.15,5.84,5.89,5680500,5.89
2015-07-06,6.16,6.19,6.03,6.10,3148300,6.10
2015-07-02,6.35,6.39,6.17,6.19,3316300,6.19
2015-07-01,6.54,6.65,6.24,6.27,4638900,6.27
2015-06-30,6.60,6.61,6.10,6.38,5453400,6.38
2015-06-29,6.61,6.71,6.50,6.54,4240800,6.54
2015-06-26,6.98,7.02,6.55,6.64,18602900,6.64
2015-06-25,7.43,7.49,6.98,7.01,6413100,6.90
2015-06-24,7.52,7.55,7.38,7.38,2525300,7.264194
2015-06-23,7.59,7.64,7.49,7.51,2875600,7.392154
2015-06-22,7.65,7.77,7.50,7.54,5168300,7.421683
2015-06-19,7.40,7.69,7.38,7.66,7501600,7.5398
2015-06-18,7.49,7.55,7.38,7.42,2769000,7.303566
2015-06-17,7.38,7.56,7.33,7.49,3062900,7.372468
2015-06-16,7.46,7.51,7.30,7.34,3586400,7.224822
2015-06-15,7.46,7.60,7.40,7.47,3468500,7.352781
2015-06-12,7.55,7.59,7.42,7.49,2355100,7.372468
2015-06-11,7.42,7.63,7.42,7.59,2747500,7.470899
2015-06-10,7.59,7.61,7.36,7.37,3549900,7.254351
2015-06-09,7.59,7.69,7.33,7.53,6152700,7.41184
2015-06-08,7.40,7.69,7.40,7.62,5340400,7.500428
2015-06-05,7.73,7.74,7.15,7.39,10130000,7.274037
2015-06-04,8.02,8.14,7.70,7.72,6053300,7.598859
2015-06-03,8.08,8.13,7.97,8.05,3734900,7.923681
2015-06-02,8.02,8.15,7.98,8.01,4915000,7.884308
2015-06-01,8.13,8.15,7.96,8.00,16361500,7.874465
2015-05-29,8.35,8.37,8.07,8.14,7715400,8.012268
2015-05-28,8.07,8.37,8.01,8.28,7189600,8.150071
2015-05-27,8.02,8.20,7.93,8.11,4935200,7.982739
2015-05-26,8.23,8.25,7.91,7.96,5537900,7.835093
2015-05-22,8.35,8.36,8.05,8.27,8144000,8.140229
2015-05-21,8.32,8.58,8.29,8.52,4363400,8.386306
2015-05-20,8.33,8.48,8.25,8.27,4404700,8.140229
2015-05-19,8.34,8.43,8.21,8.32,6386300,8.189443
2015-05-18,8.56,8.58,8.22,8.36,5132000,8.228816
2015-05-15,8.35,8.76,8.26,8.61,5898900,8.474893
2015-05-14,8.46,8.50,8.21,8.36,5273100,8.228816
2015-05-13,8.63,8.74,8.34,8.46,4864000,8.327247
2015-05-12,8.51,8.75,8.33,8.59,8039200,8.455207
2015-05-11,9.18,9.29,8.62,8.70,12621000,8.56348
2015-05-08,9.68,9.81,9.11,9.18,11203900,9.035949
2015-05-07,10.25,10.28,9.77,9.83,11477900,9.675749
2015-05-06,10.79,10.81,10.15,10.28,11296300,10.118687
2015-05-05,11.10,11.13,10.76,10.85,7902000,10.679744
2015-05-04,11.50,11.52,11.07,11.16,9571600,10.984879
2015-05-01,11.67,11.85,11.15,11.52,9922600,11.33923
2015-04-30,11.01,11.89,11.00,11.68,7692700,11.496719
2015-04-29,11.79,11.81,10.68,10.99,14025300,10.817546
2015-04-28,10.86,13.05,10.71,11.91,28021000,11.72311
2015-04-27,11.72,12.55,10.09,10.61,19998300,10.443509
2015-04-24,8.28996,8.299943,7.819957,7.829966,12482300,12.00882
2015-04-23,8.359959,8.389966,8.259952,8.28996,7693100,12.714312
2015-04-22,8.469949,8.469949,8.209945,8.409965,6930500,12.898365
2015-04-21,8.199961,8.459966,8.199961,8.349944,8653400,12.80631
2015-04-20,7.699951,8.21996,7.689968,8.179969,9380700,12.54562
2015-04-17,7.709966,7.759967,7.639968,7.689968,3247100,11.794105
2015-04-16,7.649951,7.829966,7.619969,7.729959,4587800,11.85544
2015-04-15,7.959956,7.959956,7.579945,7.639968,12086200,11.71742
2015-04-14,7.949973,8.049954,7.829966,7.859949,7060200,12.054805
2015-04-13,7.969971,8.089971,7.919964,7.959956,4737500,12.208185
2015-04-10,8.049954,8.139945,7.919964,7.989964,7368700,12.254209
2015-04-09,7.899965,8.089971,7.849965,8.019971,6891800,12.300231
2015-04-08,7.969971,8.079962,7.819957,7.879973,5054000,12.085516
2015-04-07,8.059963,8.129962,7.969971,7.989964,8614100,12.254209
2015-04-06,7.859949,8.099954,7.859949,8.059963,78623800,12.361567
2015-04-02,7.779966,8.049954,7.759967,7.919964,10857300,12.146851
2015-04-01,7.379963,7.779966,7.319972,7.76995,7005100,11.916774
2015-03-31,7.469955,7.619969,7.309964,7.399955,8534000,11.349313
2015-03-30,7.459971,7.549969,7.229949,7.489954,11531400,11.487343
2015-03-27,7.58996,7.619969,7.349955,7.439946,6363300,11.410647
2015-03-26,7.819957,7.989964,7.76995,7.83995,5188800,11.640724
2015-03-25,7.969971,7.999947,7.829966,7.83995,3423700,11.640724
2015-03-24,8.009963,8.089971,7.929948,7.969971,3805100,11.833779
2015-03-23,8.019971,8.099954,7.999947,8.019971,2580100,11.908019
2015-03-20,7.859949,8.019971,7.859949,8.019971,6580300,11.908019
2015-03-19,8.029955,8.049954,7.809974,7.849965,3137700,11.655595
2015-03-18,7.699951,8.099954,7.679959,8.029955,6243600,11.922843
2015-03-17,7.569968,7.699951,7.539954,7.689968,2831400,11.418032
2015-03-16,7.519961,7.629952,7.509946,7.58996,3476900,11.269541
2015-03-13,7.749958,7.759967,7.419954,7.539954,6087700,11.195292
2015-03-12,7.749958,7.919964,7.679959,7.759967,7172800,11.521966
2015-03-11,7.549969,7.599976,7.509946,7.569968,3161500,11.239857
2015-03-10,7.549969,7.569968,7.47997,7.549969,3864000,11.210162
2015-03-09,7.669975,7.71995,7.569968,7.579945,4193700,11.25467
2015-03-06,7.739974,7.789949,7.65996,7.669975,4627600,11.388346
2015-03-05,7.779966,7.779966,7.71995,7.759967,2796100,11.521966
2015-03-04,7.749958,7.829966,7.65996,7.789949,4691700,11.566484
2015-03-03,7.819957,7.869958,7.749958,7.76995,4381100,11.536789
2015-03-02,7.969971,7.979948,7.819957,7.859949,4798000,11.670418
2015-02-27,7.819957,7.959956,7.809974,7.889956,5013500,11.714973
2015-02-26,7.889956,7.899965,7.65996,7.76995,5110200,11.536789
2015-02-25,7.969971,7.999947,7.829966,7.859949,6892200,11.670418
2015-02-24,8.21996,8.239953,7.849965,7.859949,14945500,11.670418
