Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,41.790001,41.959999,41.50,41.75,2651800,41.441111
2015-07-30,41.450001,41.880001,41.27,41.669998,2273700,41.361701
2015-07-29,41.049999,41.669998,40.41,41.540001,2869500,41.232665
2015-07-28,40.279999,41.41,40.009998,41.189999,3797100,40.885253
2015-07-27,39.900002,40.299999,39.419998,40.060001,3383800,39.763616
2015-07-24,41.25,41.310001,40.119999,40.240002,4854600,39.942284
2015-07-23,41.040001,42.299999,40.709999,41.279999,5440100,40.974587
2015-07-22,40.959999,41.389999,40.619999,41.07,3861900,40.766141
2015-07-21,42.25,42.439999,41.529999,41.650002,3010800,41.341852
2015-07-20,42.66,42.66,42.25,42.25,2431900,41.937411
2015-07-17,42.349998,42.689999,42.02,42.66,2814700,42.344378
2015-07-16,42.799999,42.889999,42.169998,42.279999,2591700,41.967188
2015-07-15,42.779999,42.900002,42.360001,42.639999,1732800,42.324525
2015-07-14,42.560001,42.919998,42.32,42.880001,2164700,42.562751
2015-07-13,42.349998,42.59,41.84,42.52,2201000,42.205414
2015-07-10,41.869999,42.529999,41.77,41.939999,2507000,41.629704
2015-07-09,43.25,43.360001,41.830002,41.849998,3417000,41.540369
2015-07-08,43.139999,43.330002,42.52,42.66,3632300,42.344378
2015-07-07,43.450001,43.68,42.580002,43.619999,3373800,43.297274
2015-07-06,43.41,43.790001,43.099998,43.439999,3612900,43.118606
2015-07-02,44.110001,44.139999,43.549999,43.84,2561800,43.515648
2015-07-01,44.580002,44.91,43.950001,44.099998,2497100,43.773723
2015-06-30,44.43,44.560001,43.869999,44.16,3162100,43.83328
2015-06-29,44.310001,44.990002,43.950001,43.970001,5104800,43.644687
2015-06-26,45.57,45.610001,44.650002,44.799999,7747500,44.468544
2015-06-25,45.830002,45.959999,45.52,45.68,2567300,45.342035
2015-06-24,46.099998,46.16,45.619999,45.75,2323700,45.411517
2015-06-23,46.669998,46.75,45.880001,46.110001,3131000,45.768854
2015-06-22,46.68,46.779999,46.07,46.549999,3355100,46.205597
2015-06-19,47.150002,47.150002,46.060001,46.299999,5513600,45.957447
2015-06-18,46.700001,47.220001,46.68,47.16,2108800,46.811084
2015-06-17,46.75,46.990002,46.439999,46.630001,2329300,46.285007
2015-06-16,46.16,46.880001,46.16,46.799999,1657200,46.453747
2015-06-15,46.360001,46.560001,46.040001,46.310001,3418200,45.967375
2015-06-12,47.029999,47.029999,46.529999,46.650002,1410500,46.304859
2015-06-11,47.240002,47.299999,46.950001,47.220001,1618500,46.870642
2015-06-10,46.599998,47.139999,46.41,47.00,1915800,46.652268
2015-06-09,46.119999,46.759998,46.119999,46.450001,3357300,46.106338
2015-06-08,47.23,47.490002,46.290001,46.330002,3102900,45.987227
2015-06-05,47.029999,47.41,46.799999,47.290001,2549400,46.940124
2015-06-04,46.700001,47.23,46.59,47.209999,4442600,46.860714
2015-06-03,48.00,48.119999,47.290001,47.369999,3009000,47.01953
2015-06-02,48.060001,48.279999,47.57,47.779999,3710200,47.426496
2015-06-01,48.080002,48.529999,47.919998,48.330002,6440100,47.97243
2015-05-29,48.02,48.439999,47.32,47.419998,5359700,47.069159
2015-05-28,47.68,48.73,47.509998,47.799999,4016300,47.446349
2015-05-27,46.509998,47.950001,46.50,47.669998,4155800,47.31731
2015-05-26,46.84,46.84,46.27,46.549999,2690100,46.205597
2015-05-22,46.689999,47.130001,46.639999,46.939999,1887400,46.592711
2015-05-21,46.880001,47.25,46.529999,46.830002,4066400,46.483528
2015-05-20,46.630001,47.450001,46.59,46.970001,2530100,46.622492
2015-05-19,47.27,47.299999,46.580002,46.68,3241500,46.334636
2015-05-18,45.779999,46.689999,45.700001,46.610001,4269800,46.265154
