Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,81.669998,81.669998,78.93,79.209999,25957200,79.209999
2015-07-30,83.18,83.32,82.419998,83.010002,11128300,83.010002
2015-07-29,82.18,83.199997,81.910004,83.139999,13721100,83.139999
2015-07-28,79.699997,82.669998,79.57,82.480003,19684100,82.480003
2015-07-27,79.230003,80.129997,78.970001,79.260002,14986100,79.260002
2015-07-24,81.160004,81.160004,79.720001,79.940002,14855100,79.940002
2015-07-23,81.730003,81.970001,80.970001,81.139999,10267900,81.139999
2015-07-22,82.349998,82.470001,81.580002,81.790001,12759100,81.790001
2015-07-21,81.93,82.43,81.43,81.660004,8501700,81.660004
2015-07-20,82.150002,82.410004,81.599998,81.760002,9689100,81.760002
2015-07-17,82.510002,82.839996,81.790001,82.610001,12093600,82.610001
2015-07-16,83.18,83.480003,82.800003,82.910004,8255500,82.910004
2015-07-15,82.610001,83.419998,82.400002,82.760002,9237500,82.760002
2015-07-14,82.379997,83.32,82.260002,83.110001,9094200,83.110001
2015-07-13,82.110001,82.610001,82.07,82.419998,7986800,82.419998
2015-07-10,82.089996,82.489998,81.720001,82.220001,8477500,82.220001
2015-07-09,82.870003,83.150002,81.580002,81.599998,11485600,81.599998
2015-07-08,82.25,82.980003,81.910004,81.970001,9975200,81.970001
2015-07-07,82.190002,83.230003,81.489998,82.870003,15613800,82.870003
2015-07-06,82.419998,83.059998,82.120003,82.529999,11587500,82.529999
2015-07-02,82.790001,83.279999,82.550003,83.139999,9092400,83.139999
2015-07-01,83.279999,83.529999,82.110001,82.370003,13068200,82.370003
2015-06-30,83.739998,84.900002,82.800003,83.199997,13946800,83.199997
2015-06-29,83.050003,83.449997,82.800003,82.82,11643500,82.82
2015-06-26,83.830002,84.099998,83.489998,83.860001,17751800,83.860001
2015-06-25,84.849998,84.849998,83.93,83.93,10213100,83.93
2015-06-24,84.889999,85.339996,84.660004,84.68,9972800,84.68
2015-06-23,85.220001,85.279999,84.589996,85.07,8757600,85.07
2015-06-22,85.389999,85.599998,84.970001,85.169998,9241900,85.169998
2015-06-19,84.919998,85.480003,84.919998,85.209999,14039700,85.209999
2015-06-18,84.800003,85.959999,84.720001,85.480003,10217100,85.480003
2015-06-17,85.029999,85.129997,84.410004,84.730003,9061800,84.730003
2015-06-16,83.809998,84.75,83.400002,84.68,9066800,84.68
2015-06-15,83.529999,83.980003,83.190002,83.720001,9405200,83.720001
2015-06-12,84.580002,84.68,83.860001,84.019997,8286300,84.019997
2015-06-11,85.300003,85.699997,84.889999,85.089996,7607300,85.089996
2015-06-10,85.839996,85.970001,85.00,85.209999,10132600,85.209999
2015-06-09,85.290001,85.43,84.489998,84.580002,7978100,84.580002
2015-06-08,84.18,85.209999,83.93,84.849998,12219700,84.849998
2015-06-05,84.129997,85.00,83.980003,84.279999,11252100,84.279999
2015-06-04,84.699997,84.889999,83.779999,84.220001,12528800,84.220001
2015-06-03,85.230003,85.839996,84.860001,84.949997,8170100,84.949997
2015-06-02,85.120003,85.589996,84.910004,85.139999,9252400,85.139999
2015-06-01,85.25,85.470001,84.800003,85.129997,8944200,85.129997
2015-05-29,85.099998,85.580002,84.879997,85.199997,14612900,85.199997
2015-05-28,85.110001,85.57,84.82,85.110001,8025200,85.110001
2015-05-27,85.300003,85.889999,84.769997,85.110001,10771800,85.110001
2015-05-26,86.040001,86.370003,85.029999,85.349998,11266000,85.349998
