Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,10.85,11.05,10.72,11.02,15541700,11.02
2015-07-30,10.73,10.78,10.65,10.77,9697000,10.77
2015-07-29,10.70,10.80,10.63,10.76,9501100,10.76
2015-07-28,10.66,10.72,10.49,10.66,11918800,10.66
2015-07-27,10.87,10.91,10.58,10.62,20016500,10.62
2015-07-24,10.68,11.20,10.50,10.94,27775300,10.94
2015-07-23,10.70,10.92,10.66,10.81,15825600,10.81
2015-07-22,10.58,10.74,10.56,10.70,11286700,10.70
2015-07-21,10.89,10.99,10.47,10.59,21234600,10.59
2015-07-20,10.88,11.00,10.80,10.91,18915700,10.91
2015-07-17,10.55,10.85,10.52,10.83,19170000,10.83
2015-07-16,10.50,10.66,10.49,10.61,13005500,10.61
2015-07-15,10.54,10.58,10.42,10.44,7082000,10.44
2015-07-14,10.49,10.55,10.47,10.53,7868100,10.53
2015-07-13,10.43,10.51,10.39,10.49,9638400,10.49
2015-07-10,10.41,10.42,10.29,10.38,12359800,10.38
2015-07-09,10.41,10.48,10.24,10.24,18035400,10.24
2015-07-08,10.50,10.58,10.25,10.27,13026100,10.27
2015-07-07,10.41,10.61,10.37,10.58,11375500,10.58
2015-07-06,10.45,10.58,10.40,10.53,8792900,10.53
2015-07-02,10.74,10.74,10.44,10.56,12744400,10.56
2015-07-01,10.71,10.74,10.65,10.68,8393400,10.68
2015-06-30,10.84,10.90,10.64,10.64,10110100,10.64
2015-06-29,10.88,10.96,10.76,10.78,9452000,10.78
2015-06-26,10.96,11.02,10.92,10.98,8720000,10.98
2015-06-25,11.02,11.09,10.99,11.01,10315400,10.94
2015-06-24,11.23,11.24,10.99,10.99,8255900,10.920127
2015-06-23,11.18,11.27,11.13,11.25,6361300,11.178474
2015-06-22,11.15,11.19,11.09,11.13,7212100,11.059237
2015-06-19,11.12,11.20,11.03,11.09,13939800,11.019492
2015-06-18,11.14,11.24,11.10,11.14,6554200,11.069174
2015-06-17,11.07,11.18,11.05,11.11,6249100,11.039364
2015-06-16,11.05,11.10,10.99,11.04,9121200,10.969809
2015-06-15,11.05,11.15,10.99,11.05,5548100,10.979746
2015-06-12,11.31,11.36,11.14,11.17,6487400,11.098983
2015-06-11,11.33,11.48,11.31,11.37,7137300,11.297711
2015-06-10,11.09,11.33,11.06,11.26,7024400,11.188411
2015-06-09,11.08,11.11,10.93,11.03,8397300,10.959873
2015-06-08,11.25,11.30,11.04,11.05,8096000,10.979746
2015-06-05,11.30,11.34,11.15,11.26,6087800,11.188411
2015-06-04,11.48,11.54,11.26,11.31,8161400,11.238093
2015-06-03,11.50,11.62,11.48,11.53,6438300,11.456694
2015-06-02,11.47,11.55,11.42,11.48,6606800,11.407011
2015-06-01,11.44,11.54,11.36,11.46,6830600,11.387139
2015-05-29,11.48,11.50,11.33,11.42,9709400,11.347393
2015-05-28,11.39,11.56,11.37,11.50,6390200,11.426885
2015-05-27,11.28,11.45,11.25,11.43,9913900,11.35733
2015-05-26,11.39,11.43,11.20,11.21,6849100,11.138729
2015-05-22,11.48,11.51,11.41,11.44,6876900,11.367266
2015-05-21,11.42,11.58,11.41,11.51,6754600,11.436821
2015-05-20,11.37,11.54,11.33,11.46,7034900,11.387139
2015-05-19,11.48,11.54,11.26,11.32,12334200,11.248029
2015-05-18,11.32,11.55,11.32,11.48,6450700,11.407011
2015-05-15,11.33,11.40,11.26,11.37,6693400,11.297711
2015-05-14,11.25,11.37,11.24,11.30,7620200,11.228156
2015-05-13,11.18,11.30,11.17,11.24,9250100,11.168538
2015-05-12,11.20,11.26,11.12,11.16,16800900,11.089046
2015-05-11,11.36,11.42,11.18,11.24,19481900,11.168538
2015-05-08,11.48,11.48,11.32,11.37,12349600,11.297711
2015-05-07,11.44,11.53,11.29,11.32,14200300,11.248029
2015-05-06,11.66,11.72,11.30,11.38,12349200,11.307648
2015-05-05,11.76,11.86,11.48,11.55,12788600,11.476567
2015-05-04,11.55,11.83,11.52,11.77,10643700,11.695169
2015-05-01,11.55,11.64,11.50,11.52,15623100,11.446758
2015-04-30,11.56,11.56,11.28,11.50,20573300,11.426885
2015-04-29,11.64,11.78,11.51,11.53,18267400,11.456694
2015-04-28,11.56,11.75,11.38,11.73,15738700,11.655422
2015-04-27,11.88,11.88,11.45,11.62,26759600,11.546122
2015-04-24,12.06,12.23,11.32,11.99,41040500,11.913769
2015-04-23,12.87,13.21,12.87,13.14,10805600,13.056458
2015-04-22,12.82,12.95,12.73,12.92,5280800,12.837857
2015-04-21,13.04,13.08,12.79,12.79,6535000,12.708683
2015-04-20,12.97,13.15,12.95,13.01,5626200,12.927285
2015-04-17,12.82,12.93,12.68,12.89,7895700,12.808048
2015-04-16,13.00,13.07,12.85,12.92,7398800,12.837857
2015-04-15,13.15,13.23,13.09,13.11,6058600,13.026648
2015-04-14,13.22,13.29,13.01,13.09,6828100,13.006776
2015-04-13,13.23,13.32,13.16,13.16,3972900,13.076331
2015-04-10,13.24,13.33,13.15,13.26,5079500,13.175695
2015-04-09,13.06,13.17,12.97,13.13,4143500,13.046522
2015-04-08,13.22,13.29,13.00,13.10,4927000,13.016713
2015-04-07,12.97,13.09,12.94,12.96,4171900,12.877602
2015-04-06,12.65,12.95,12.61,12.95,4691200,12.867666
2015-04-02,12.72,12.84,12.68,12.77,7407400,12.688811
2015-04-01,12.85,12.87,12.65,12.67,7941000,12.589446
2015-03-31,12.79,12.98,12.79,12.85,7600600,12.768302
2015-03-30,12.64,12.95,12.64,12.84,6754000,12.758365
2015-03-27,12.86,12.88,12.53,12.59,7193000,12.509955
2015-03-26,12.85,12.96,12.70,12.87,6572200,12.71862
2015-03-25,13.22,13.31,12.87,12.90,8766600,12.748266
2015-03-24,13.24,13.34,13.17,13.23,9122900,13.074385
2015-03-23,13.18,13.35,13.16,13.24,6153000,13.084267
2015-03-20,12.89,13.25,12.75,13.18,15805600,13.024974
2015-03-19,12.97,13.05,12.83,12.84,7850900,12.688973
2015-03-18,12.82,13.11,12.71,12.99,8762900,12.837208
2015-03-17,12.86,12.92,12.77,12.83,5107700,12.67909
2015-03-16,12.72,12.92,12.65,12.89,7140200,12.738385
2015-03-13,12.68,12.77,12.59,12.75,7044600,12.600031
2015-03-12,12.82,12.87,12.64,12.67,8060300,12.520972
2015-03-11,12.77,13.11,12.72,12.87,8767000,12.71862
2015-03-10,13.20,13.22,12.74,12.75,11049200,12.600031
2015-03-09,13.14,13.31,13.07,13.26,6938500,13.104033
2015-03-06,13.46,13.46,13.08,13.14,8074000,12.985444
2015-03-05,13.37,13.53,13.22,13.52,8671300,13.360975
2015-03-04,13.43,13.43,13.24,13.37,5892000,13.212738
2015-03-03,13.43,13.63,13.39,13.43,5615600,13.272033
2015-03-02,13.65,13.72,13.48,13.58,7803200,13.420268
2015-02-27,13.30,13.66,13.15,13.65,11841200,13.489445
2015-02-26,13.70,13.73,13.30,13.36,11479800,13.202856
2015-02-25,13.90,13.91,13.60,13.70,7453700,13.538857
2015-02-24,13.88,14.00,13.79,13.98,5314400,13.815563
2015-02-23,13.96,14.01,13.77,13.92,4703300,13.756269
2015-02-20,13.74,14.02,13.67,14.00,5967700,13.835328
2015-02-19,13.81,13.93,13.73,13.75,4852500,13.588269
2015-02-18,13.69,13.89,13.60,13.83,4422500,13.667328
2015-02-17,13.74,13.75,13.59,13.69,5655900,13.528974
2015-02-13,13.58,13.81,13.58,13.77,6943100,13.608034
2015-02-12,13.51,13.63,13.47,13.57,6308500,13.410386
2015-02-11,13.52,13.58,13.39,13.47,5282800,13.311563
2015-02-10,13.47,13.51,13.25,13.49,7952600,13.331327
2015-02-09,13.38,13.50,13.35,13.40,5869600,13.242385
2015-02-06,13.50,13.54,13.38,13.43,6705200,13.272033
2015-02-05,13.45,13.51,13.36,13.46,6500200,13.30168
2015-02-04,13.35,13.53,13.33,13.41,9476100,13.252268
2015-02-03,13.53,13.65,13.32,13.43,11009900,13.272033
2015-02-02,13.17,13.42,13.00,13.38,8941900,13.222621
2015-01-30,13.25,13.51,12.94,13.17,18474500,13.015091
2015-01-29,13.24,13.63,13.14,13.56,10439900,13.400504
